"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000064.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.779 -0.627"	"dimensionless"	"Unit Vector"	"direct"	"3.81 18.15 0.0"	"micron"	"direct"	"43.6875"	"micron^2"	"direct"	"7.459"	"micron"	"direct"	"10.084"	"micron"	"direct"	"5.88675"	"micron"	"direct"	"32.185"	"micron"	"direct"	"3.7295"	"micron"	"direct"	"0.58377132"	"dimensionless"	"direct"	"0.52998067"	"dimensionless"	"direct"	"0.81191813"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9203 -0.3911"	"dimensionless"	"Unit Vector"	"direct"	"3.43 42.39 0.0"	"micron"	"direct"	"55.6875"	"micron^2"	"direct"	"8.421"	"micron"	"direct"	"10.49225"	"micron"	"direct"	"6.982"	"micron"	"direct"	"29.8995"	"micron"	"direct"	"4.2105"	"micron"	"direct"	"0.66544354"	"dimensionless"	"direct"	"0.78278002"	"dimensionless"	"direct"	"0.74644818"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"1.0 0.006"	"dimensionless"	"Unit Vector"	"direct"	"1.73 52.86 0.0"	"micron"	"direct"	"22.4375"	"micron^2"	"direct"	"5.3455"	"micron"	"direct"	"7.6155"	"micron"	"direct"	"3.9255"	"micron"	"direct"	"19.071"	"micron"	"direct"	"2.67275"	"micron"	"direct"	"0.51546189"	"dimensionless"	"direct"	"0.77524219"	"dimensionless"	"direct"	"0.85691251"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.999 -0.045"	"dimensionless"	"Unit Vector"	"direct"	"1.29 95.8 0.0"	"micron"	"direct"	"24.0"	"micron^2"	"direct"	"5.5285"	"micron"	"direct"	"12.60025"	"micron"	"direct"	"3.2455"	"micron"	"direct"	"32.41575"	"micron"	"direct"	"2.76425"	"micron"	"direct"	"0.25757425"	"dimensionless"	"direct"	"0.28701788"	"dimensionless"	"direct"	"0.96625851"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9432 -0.3321"	"dimensionless"	"Unit Vector"	"direct"	"3.61 123.83 0.0"	"micron"	"direct"	"58.4375"	"micron^2"	"direct"	"8.6265"	"micron"	"direct"	"10.602"	"micron"	"direct"	"7.19025"	"micron"	"direct"	"31.27975"	"micron"	"direct"	"4.31325"	"micron"	"direct"	"0.67819751"	"dimensionless"	"direct"	"0.75054191"	"dimensionless"	"direct"	"0.73487968"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"1.0 0.005"	"dimensionless"	"Unit Vector"	"direct"	"1.16 133.96 0.0"	"micron"	"direct"	"17.9375"	"micron^2"	"direct"	"4.7795"	"micron"	"direct"	"11.02"	"micron"	"direct"	"2.83225"	"micron"	"direct"	"27.91575"	"micron"	"direct"	"2.38975"	"micron"	"direct"	"0.25700998"	"dimensionless"	"direct"	"0.28924987"	"dimensionless"	"direct"	"0.96640875"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.7821 0.6231"	"dimensionless"	"Unit Vector"	"direct"	"2.25 162.77 0.0"	"micron"	"direct"	"14.5625"	"micron^2"	"direct"	"4.3065"	"micron"	"direct"	"6.92625"	"micron"	"direct"	"3.444"	"micron"	"direct"	"20.12275"	"micron"	"direct"	"2.15325"	"micron"	"direct"	"0.49723877"	"dimensionless"	"direct"	"0.45192997"	"dimensionless"	"direct"	"0.86761374"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9998 0.02"	"dimensionless"	"Unit Vector"	"direct"	"1.22 172.95 0.0"	"micron"	"direct"	"16.0"	"micron^2"	"direct"	"4.514"	"micron"	"direct"	"8.02475"	"micron"	"direct"	"2.703"	"micron"	"direct"	"18.605"	"micron"	"direct"	"2.257"	"micron"	"direct"	"0.33683292"	"dimensionless"	"direct"	"0.5808587"	"dimensionless"	"direct"	"0.94156443"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.8751 -0.484"	"dimensionless"	"Unit Vector"	"direct"	"2.62 190.14 0.0"	"micron"	"direct"	"25.8125"	"micron^2"	"direct"	"5.7335"	"micron"	"direct"	"7.39275"	"micron"	"direct"	"6.3025"	"micron"	"direct"	"28.58875"	"micron"	"direct"	"2.86675"	"micron"	"direct"	"0.85252443"	"dimensionless"	"direct"	"0.39687121"	"dimensionless"	"direct"	"0.52268737"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.9967 0.081"	"dimensionless"	"Unit Vector"	"direct"	"1.53 222.69 0.0"	"micron"	"direct"	"19.0"	"micron^2"	"direct"	"4.919"	"micron"	"direct"	"7.81675"	"micron"	"direct"	"3.61825"	"micron"	"direct"	"20.7265"	"micron"	"direct"	"2.4595"	"micron"	"direct"	"0.46288419"	"dimensionless"	"direct"	"0.55579102"	"dimensionless"	"direct"	"0.88641876"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.9067 -0.4218"	"dimensionless"	"Unit Vector"	"direct"	"1.74 273.89 0.0"	"micron"	"direct"	"13.6875"	"micron^2"	"direct"	"4.175"	"micron"	"direct"	"5.60375"	"micron"	"direct"	"3.69175"	"micron"	"direct"	"17.33"	"micron"	"direct"	"2.0875"	"micron"	"direct"	"0.65879991"	"dimensionless"	"direct"	"0.57271278"	"dimensionless"	"direct"	"0.7523182"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.4448 -0.8956"	"dimensionless"	"Unit Vector"	"direct"	"4.7 34.48 0.0"	"micron"	"direct"	"38.25"	"micron^2"	"direct"	"6.9795"	"micron"	"direct"	"9.294"	"micron"	"direct"	"5.29675"	"micron"	"direct"	"25.0725"	"micron"	"direct"	"3.48975"	"micron"	"direct"	"0.5699107"	"dimensionless"	"direct"	"0.76462065"	"dimensionless"	"direct"	"0.82170664"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.12"	"Geometrical Property Characterization"	"individual"	"nucleus"	"12"	"0.4031 -0.9152"	"dimensionless"	"Unit Vector"	"direct"	"3.69 207.96 0.0"	"micron"	"direct"	"25.4375"	"micron^2"	"direct"	"5.6915"	"micron"	"direct"	"7.1315"	"micron"	"direct"	"4.90125"	"micron"	"direct"	"23.4335"	"micron"	"direct"	"2.84575"	"micron"	"direct"	"0.68726776"	"dimensionless"	"direct"	"0.58211658"	"dimensionless"	"direct"	"0.72640418"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
"MCDS_S_0000000064.0.13"	"Geometrical Property Characterization"	"individual"	"nucleus"	"13"	"0.347 -0.9379"	"dimensionless"	"Unit Vector"	"direct"	"6.16 64.75 0.0"	"micron"	"direct"	"46.3125"	"micron^2"	"direct"	"7.6795"	"micron"	"direct"	"9.31675"	"micron"	"direct"	"6.3465"	"micron"	"direct"	"25.728"	"micron"	"direct"	"3.83975"	"micron"	"direct"	"0.68119248"	"dimensionless"	"direct"	"0.87921692"	"dimensionless"	"direct"	"0.73210437"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000064.xml"
