"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000307.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9999 0.015"	"dimensionless"	"Unit Vector"	"direct"	"1.04 32.92 0.0"	"micron"	"direct"	"19.0625"	"micron^2"	"direct"	"4.927"	"micron"	"direct"	"16.353"	"micron"	"direct"	"1.7995"	"micron"	"direct"	"35.5015"	"micron"	"direct"	"2.4635"	"micron"	"direct"	"0.11004097"	"dimensionless"	"direct"	"0.19006245"	"dimensionless"	"direct"	"0.99392705"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9981 -0.061"	"dimensionless"	"Unit Vector"	"direct"	"2.71 52.97 0.0"	"micron"	"direct"	"53.875"	"micron^2"	"direct"	"8.283"	"micron"	"direct"	"14.22475"	"micron"	"direct"	"6.61825"	"micron"	"direct"	"44.63325"	"micron"	"direct"	"4.1415"	"micron"	"direct"	"0.46526301"	"dimensionless"	"direct"	"0.3398444"	"dimensionless"	"direct"	"0.88517249"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.7987 0.6018"	"dimensionless"	"Unit Vector"	"direct"	"5.08 65.44 0.0"	"micron"	"direct"	"101.8125"	"micron^2"	"direct"	"11.3865"	"micron"	"direct"	"12.779"	"micron"	"direct"	"11.00225"	"micron"	"direct"	"47.1065"	"micron"	"direct"	"5.69325"	"micron"	"direct"	"0.8609633"	"dimensionless"	"direct"	"0.57656635"	"dimensionless"	"direct"	"0.50866708"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"1.0 -0.001"	"dimensionless"	"Unit Vector"	"direct"	"2.23 85.8 0.0"	"micron"	"direct"	"32.5625"	"micron^2"	"direct"	"6.4395"	"micron"	"direct"	"10.038"	"micron"	"direct"	"4.5045"	"micron"	"direct"	"27.0105"	"micron"	"direct"	"3.21975"	"micron"	"direct"	"0.44874477"	"dimensionless"	"direct"	"0.56087019"	"dimensionless"	"direct"	"0.89365996"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.696 -0.718"	"dimensionless"	"Unit Vector"	"direct"	"3.74 123.01 0.0"	"micron"	"direct"	"27.75"	"micron^2"	"direct"	"5.9445"	"micron"	"direct"	"7.196"	"micron"	"direct"	"5.08125"	"micron"	"direct"	"21.3995"	"micron"	"direct"	"2.97225"	"micron"	"direct"	"0.70612146"	"dimensionless"	"direct"	"0.76149245"	"dimensionless"	"direct"	"0.70809073"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9748 -0.223"	"dimensionless"	"Unit Vector"	"direct"	"5.46 135.66 0.0"	"micron"	"direct"	"167.25"	"micron^2"	"direct"	"14.594"	"micron"	"direct"	"20.51125"	"micron"	"direct"	"10.804"	"micron"	"direct"	"63.7885"	"micron"	"direct"	"7.297"	"micron"	"direct"	"0.52673533"	"dimensionless"	"direct"	"0.51652484"	"dimensionless"	"direct"	"0.85002935"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.7659 0.6429"	"dimensionless"	"Unit Vector"	"direct"	"6.02 156.8 0.0"	"micron"	"direct"	"122.3125"	"micron^2"	"direct"	"12.4805"	"micron"	"direct"	"13.5075"	"micron"	"direct"	"12.8405"	"micron"	"direct"	"58.41875"	"micron"	"direct"	"6.24025"	"micron"	"direct"	"0.95062003"	"dimensionless"	"direct"	"0.45037698"	"dimensionless"	"direct"	"0.31035716"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9798 -0.2"	"dimensionless"	"Unit Vector"	"direct"	"3.47 238.69 0.0"	"micron"	"direct"	"53.875"	"micron^2"	"direct"	"8.283"	"micron"	"direct"	"10.51925"	"micron"	"direct"	"7.0495"	"micron"	"direct"	"32.71025"	"micron"	"direct"	"4.1415"	"micron"	"direct"	"0.67015234"	"dimensionless"	"direct"	"0.63274602"	"dimensionless"	"direct"	"0.74222358"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.208 0.9781"	"dimensionless"	"Unit Vector"	"direct"	"5.41 206.41 0.0"	"micron"	"direct"	"31.4375"	"micron^2"	"direct"	"6.3275"	"micron"	"direct"	"7.691"	"micron"	"direct"	"5.75425"	"micron"	"direct"	"26.648"	"micron"	"direct"	"3.16375"	"micron"	"direct"	"0.74817969"	"dimensionless"	"direct"	"0.55632506"	"dimensionless"	"direct"	"0.66349616"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
"MCDS_S_0000000307.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.036 -0.9994"	"dimensionless"	"Unit Vector"	"direct"	"6.8 274.57 0.0"	"micron"	"direct"	"48.0625"	"micron^2"	"direct"	"7.8235"	"micron"	"direct"	"10.0745"	"micron"	"direct"	"6.554"	"micron"	"direct"	"32.6065"	"micron"	"direct"	"3.91175"	"micron"	"direct"	"0.65055338"	"dimensionless"	"direct"	"0.56807785"	"dimensionless"	"direct"	"0.75946053"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000307.xml"
