"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000121.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.8363 0.5482"	"dimensionless"	"Unit Vector"	"direct"	"2.55 20.96 0.0"	"micron"	"direct"	"14.375"	"micron^2"	"direct"	"4.2785"	"micron"	"direct"	"6.389"	"micron"	"direct"	"2.95025"	"micron"	"direct"	"15.77825"	"micron"	"direct"	"2.13925"	"micron"	"direct"	"0.46177023"	"dimensionless"	"direct"	"0.72560464"	"dimensionless"	"direct"	"0.88699958"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.8189 0.5739"	"dimensionless"	"Unit Vector"	"direct"	"3.2 32.09 0.0"	"micron"	"direct"	"33.6875"	"micron^2"	"direct"	"6.55"	"micron"	"direct"	"8.26525"	"micron"	"direct"	"5.406"	"micron"	"direct"	"22.83875"	"micron"	"direct"	"3.275"	"micron"	"direct"	"0.6540637"	"dimensionless"	"direct"	"0.81158495"	"dimensionless"	"direct"	"0.75643947"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.1451 0.9894"	"dimensionless"	"Unit Vector"	"direct"	"6.68 58.3 0.0"	"micron"	"direct"	"101.5"	"micron^2"	"direct"	"11.369"	"micron"	"direct"	"16.53525"	"micron"	"direct"	"9.598"	"micron"	"direct"	"49.56675"	"micron"	"direct"	"5.6845"	"micron"	"direct"	"0.5804569"	"dimensionless"	"direct"	"0.51915258"	"dimensionless"	"direct"	"0.81429097"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.7918 -0.6108"	"dimensionless"	"Unit Vector"	"direct"	"2.97 196.26 0.0"	"micron"	"direct"	"27.125"	"micron^2"	"direct"	"5.8775"	"micron"	"direct"	"6.4625"	"micron"	"direct"	"5.4685"	"micron"	"direct"	"19.83875"	"micron"	"direct"	"2.93875"	"micron"	"direct"	"0.84618956"	"dimensionless"	"direct"	"0.86606602"	"dimensionless"	"direct"	"0.53288201"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.996 -0.089"	"dimensionless"	"Unit Vector"	"direct"	"2.04 211.43 0.0"	"micron"	"direct"	"38.875"	"micron^2"	"direct"	"7.036"	"micron"	"direct"	"14.05325"	"micron"	"direct"	"3.9405"	"micron"	"direct"	"32.1065"	"micron"	"direct"	"3.518"	"micron"	"direct"	"0.28039777"	"dimensionless"	"direct"	"0.47390832"	"dimensionless"	"direct"	"0.95988389"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9866 -0.1629"	"dimensionless"	"Unit Vector"	"direct"	"2.43 232.05 0.0"	"micron"	"direct"	"20.6875"	"micron^2"	"direct"	"5.1325"	"micron"	"direct"	"6.5605"	"micron"	"direct"	"4.17175"	"micron"	"direct"	"18.2175"	"micron"	"direct"	"2.56625"	"micron"	"direct"	"0.63588903"	"dimensionless"	"direct"	"0.78332199"	"dimensionless"	"direct"	"0.7717805"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.998 0.064"	"dimensionless"	"Unit Vector"	"direct"	"1.68 346.37 0.0"	"micron"	"direct"	"13.25"	"micron^2"	"direct"	"4.1075"	"micron"	"direct"	"7.17375"	"micron"	"direct"	"2.47225"	"micron"	"direct"	"16.864"	"micron"	"direct"	"2.05375"	"micron"	"direct"	"0.3446245"	"dimensionless"	"direct"	"0.58546988"	"dimensionless"	"direct"	"0.93874062"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.7021 -0.7121"	"dimensionless"	"Unit Vector"	"direct"	"3.36 440.23 0.0"	"micron"	"direct"	"34.125"	"micron^2"	"direct"	"6.592"	"micron"	"direct"	"7.841"	"micron"	"direct"	"5.66325"	"micron"	"direct"	"22.046"	"micron"	"direct"	"3.296"	"micron"	"direct"	"0.72226119"	"dimensionless"	"direct"	"0.88231349"	"dimensionless"	"direct"	"0.6916204"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.997 -0.078"	"dimensionless"	"Unit Vector"	"direct"	"2.62 76.37 0.0"	"micron"	"direct"	"27.5625"	"micron^2"	"direct"	"5.9245"	"micron"	"direct"	"8.06675"	"micron"	"direct"	"4.60775"	"micron"	"direct"	"21.52825"	"micron"	"direct"	"2.96225"	"micron"	"direct"	"0.57120278"	"dimensionless"	"direct"	"0.74732759"	"dimensionless"	"direct"	"0.82080898"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.6292 -0.7772"	"dimensionless"	"Unit Vector"	"direct"	"3.27 110.46 0.0"	"micron"	"direct"	"17.1875"	"micron^2"	"direct"	"4.6785"	"micron"	"direct"	"6.4275"	"micron"	"direct"	"3.56225"	"micron"	"direct"	"17.76925"	"micron"	"direct"	"2.33925"	"micron"	"direct"	"0.55422015"	"dimensionless"	"direct"	"0.68404454"	"dimensionless"	"direct"	"0.83237013"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.4612 0.8873"	"dimensionless"	"Unit Vector"	"direct"	"2.69 242.39 0.0"	"micron"	"direct"	"14.3125"	"micron^2"	"direct"	"4.2695"	"micron"	"direct"	"4.646"	"micron"	"direct"	"4.007"	"micron"	"direct"	"13.94975"	"micron"	"direct"	"2.13475"	"micron"	"direct"	"0.86246233"	"dimensionless"	"direct"	"0.9242565"	"dimensionless"	"direct"	"0.50612125"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.6051 -0.7961"	"dimensionless"	"Unit Vector"	"direct"	"3.2 263.13 0.0"	"micron"	"direct"	"17.5625"	"micron^2"	"direct"	"4.729"	"micron"	"direct"	"6.0045"	"micron"	"direct"	"3.885"	"micron"	"direct"	"17.31225"	"micron"	"direct"	"2.3645"	"micron"	"direct"	"0.64701474"	"dimensionless"	"direct"	"0.73635827"	"dimensionless"	"direct"	"0.76247749"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.12"	"Geometrical Property Characterization"	"individual"	"nucleus"	"12"	"0.9997 0.023"	"dimensionless"	"Unit Vector"	"direct"	"2.28 319.33 0.0"	"micron"	"direct"	"28.1875"	"micron^2"	"direct"	"5.9915"	"micron"	"direct"	"9.414"	"micron"	"direct"	"3.92275"	"micron"	"direct"	"22.2175"	"micron"	"direct"	"2.99575"	"micron"	"direct"	"0.41669322"	"dimensionless"	"direct"	"0.71758945"	"dimensionless"	"direct"	"0.90904717"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.13"	"Geometrical Property Characterization"	"individual"	"nucleus"	"13"	"0.9713 -0.2381"	"dimensionless"	"Unit Vector"	"direct"	"2.97 409.14 0.0"	"micron"	"direct"	"27.6875"	"micron^2"	"direct"	"5.938"	"micron"	"direct"	"6.9665"	"micron"	"direct"	"5.26775"	"micron"	"direct"	"20.63175"	"micron"	"direct"	"2.969"	"micron"	"direct"	"0.75615445"	"dimensionless"	"direct"	"0.81737523"	"dimensionless"	"direct"	"0.65439319"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.14"	"Geometrical Property Characterization"	"individual"	"nucleus"	"14"	"0.512 0.859"	"dimensionless"	"Unit Vector"	"direct"	"3.31 446.13 0.0"	"micron"	"direct"	"27.875"	"micron^2"	"direct"	"5.958"	"micron"	"direct"	"6.88675"	"micron"	"direct"	"5.42175"	"micron"	"direct"	"20.27825"	"micron"	"direct"	"2.979"	"micron"	"direct"	"0.78727266"	"dimensionless"	"direct"	"0.85185131"	"dimensionless"	"direct"	"0.61660502"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.15"	"Geometrical Property Characterization"	"individual"	"nucleus"	"15"	"0.2 0.9798"	"dimensionless"	"Unit Vector"	"direct"	"6.25 41.99 0.0"	"micron"	"direct"	"42.125"	"micron^2"	"direct"	"7.3245"	"micron"	"direct"	"10.37975"	"micron"	"direct"	"5.4245"	"micron"	"direct"	"26.81375"	"micron"	"direct"	"3.66225"	"micron"	"direct"	"0.52260411"	"dimensionless"	"direct"	"0.73626587"	"dimensionless"	"direct"	"0.85257548"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.16"	"Geometrical Property Characterization"	"individual"	"nucleus"	"16"	"0.889 0.458"	"dimensionless"	"Unit Vector"	"direct"	"3.4 180.77 0.0"	"micron"	"direct"	"21.3125"	"micron^2"	"direct"	"5.2095"	"micron"	"direct"	"5.7975"	"micron"	"direct"	"4.939"	"micron"	"direct"	"19.30475"	"micron"	"direct"	"2.60475"	"micron"	"direct"	"0.85191893"	"dimensionless"	"direct"	"0.71864746"	"dimensionless"	"direct"	"0.52367369"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.17"	"Geometrical Property Characterization"	"individual"	"nucleus"	"17"	"0.3688 0.9295"	"dimensionless"	"Unit Vector"	"direct"	"4.91 268.63 0.0"	"micron"	"direct"	"34.9375"	"micron^2"	"direct"	"6.67"	"micron"	"direct"	"7.98825"	"micron"	"direct"	"5.67225"	"micron"	"direct"	"23.27825"	"micron"	"direct"	"3.335"	"micron"	"direct"	"0.71007417"	"dimensionless"	"direct"	"0.81021641"	"dimensionless"	"direct"	"0.70412689"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.18"	"Geometrical Property Characterization"	"individual"	"nucleus"	"18"	"0.5039 -0.8638"	"dimensionless"	"Unit Vector"	"direct"	"4.56 381.55 0.0"	"micron"	"direct"	"19.4375"	"micron^2"	"direct"	"4.9755"	"micron"	"direct"	"6.35525"	"micron"	"direct"	"4.4785"	"micron"	"direct"	"20.6925"	"micron"	"direct"	"2.48775"	"micron"	"direct"	"0.70469297"	"dimensionless"	"direct"	"0.57045888"	"dimensionless"	"direct"	"0.70951238"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
"MCDS_S_0000000121.0.19"	"Geometrical Property Characterization"	"individual"	"nucleus"	"19"	"0.1049 -0.9945"	"dimensionless"	"Unit Vector"	"direct"	"5.81 247.26 0.0"	"micron"	"direct"	"45.5625"	"micron^2"	"direct"	"7.6175"	"micron"	"direct"	"8.73275"	"micron"	"direct"	"6.69075"	"micron"	"direct"	"25.81375"	"micron"	"direct"	"3.80875"	"micron"	"direct"	"0.76616759"	"dimensionless"	"direct"	"0.85924143"	"dimensionless"	"direct"	"0.64264082"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000121.xml"
