"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000037.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.018 0.9998"	"dimensionless"	"Unit Vector"	"direct"	"2.85 22.83 0.0"	"micron"	"direct"	"13.8125"	"micron^2"	"direct"	"4.194"	"micron"	"direct"	"5.4865"	"micron"	"direct"	"3.85525"	"micron"	"direct"	"17.648"	"micron"	"direct"	"2.097"	"micron"	"direct"	"0.7026793"	"dimensionless"	"direct"	"0.55730272"	"dimensionless"	"direct"	"0.71150671"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.7856 0.6187"	"dimensionless"	"Unit Vector"	"direct"	"3.23 32.72 0.0"	"micron"	"direct"	"25.125"	"micron^2"	"direct"	"5.6565"	"micron"	"direct"	"6.4905"	"micron"	"direct"	"5.09925"	"micron"	"direct"	"19.6745"	"micron"	"direct"	"2.82825"	"micron"	"direct"	"0.78564826"	"dimensionless"	"direct"	"0.8156588"	"dimensionless"	"direct"	"0.61867344"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9894 0.1451"	"dimensionless"	"Unit Vector"	"direct"	"2.28 41.7 0.0"	"micron"	"direct"	"24.8125"	"micron^2"	"direct"	"5.621"	"micron"	"direct"	"8.26"	"micron"	"direct"	"3.91125"	"micron"	"direct"	"22.0015"	"micron"	"direct"	"2.8105"	"micron"	"direct"	"0.47351695"	"dimensionless"	"direct"	"0.64413338"	"dimensionless"	"direct"	"0.88078471"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.7808 -0.6248"	"dimensionless"	"Unit Vector"	"direct"	"3.78 73.42 0.0"	"micron"	"direct"	"32.5"	"micron^2"	"direct"	"6.4335"	"micron"	"direct"	"10.84825"	"micron"	"direct"	"4.30475"	"micron"	"direct"	"29.62425"	"micron"	"direct"	"3.21675"	"micron"	"direct"	"0.39681515"	"dimensionless"	"direct"	"0.46537012"	"dimensionless"	"direct"	"0.91789854"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9888 -0.149"	"dimensionless"	"Unit Vector"	"direct"	"1.86 91.72 0.0"	"micron"	"direct"	"17.3125"	"micron^2"	"direct"	"4.6955"	"micron"	"direct"	"7.29075"	"micron"	"direct"	"3.83325"	"micron"	"direct"	"23.83725"	"micron"	"direct"	"2.34775"	"micron"	"direct"	"0.52576895"	"dimensionless"	"direct"	"0.3828753"	"dimensionless"	"direct"	"0.85062742"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"1.0 0.003"	"dimensionless"	"Unit Vector"	"direct"	"2.96 102.51 0.0"	"micron"	"direct"	"42.75"	"micron^2"	"direct"	"7.3785"	"micron"	"direct"	"9.0045"	"micron"	"direct"	"6.4745"	"micron"	"direct"	"28.0105"	"micron"	"direct"	"3.68925"	"micron"	"direct"	"0.71902937"	"dimensionless"	"direct"	"0.6847062"	"dimensionless"	"direct"	"0.69497968"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.8926 -0.4508"	"dimensionless"	"Unit Vector"	"direct"	"2.09 111.95 0.0"	"micron"	"direct"	"16.0625"	"micron^2"	"direct"	"4.523"	"micron"	"direct"	"6.3995"	"micron"	"direct"	"3.34925"	"micron"	"direct"	"17.31225"	"micron"	"direct"	"2.2615"	"micron"	"direct"	"0.5233612"	"dimensionless"	"direct"	"0.67346646"	"dimensionless"	"direct"	"0.85211094"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.5189 0.8548"	"dimensionless"	"Unit Vector"	"direct"	"5.43 132.48 0.0"	"micron"	"direct"	"65.3125"	"micron^2"	"direct"	"9.12"	"micron"	"direct"	"10.0635"	"micron"	"direct"	"8.913"	"micron"	"direct"	"37.6065"	"micron"	"direct"	"4.56"	"micron"	"direct"	"0.88567596"	"dimensionless"	"direct"	"0.58033711"	"dimensionless"	"direct"	"0.46430389"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.057 -0.9984"	"dimensionless"	"Unit Vector"	"direct"	"7.9 153.52 0.0"	"micron"	"direct"	"125.625"	"micron^2"	"direct"	"12.6485"	"micron"	"direct"	"16.89325"	"micron"	"direct"	"10.03"	"micron"	"direct"	"53.0045"	"micron"	"direct"	"6.32425"	"micron"	"direct"	"0.59372826"	"dimensionless"	"direct"	"0.56190184"	"dimensionless"	"direct"	"0.80466561"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
"MCDS_S_0000000037.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.8152 0.5792"	"dimensionless"	"Unit Vector"	"direct"	"2.08 160.3 0.0"	"micron"	"direct"	"13.0"	"micron^2"	"direct"	"4.069"	"micron"	"direct"	"5.14875"	"micron"	"direct"	"4.01475"	"micron"	"direct"	"17.30325"	"micron"	"direct"	"2.0345"	"micron"	"direct"	"0.77975237"	"dimensionless"	"direct"	"0.54562951"	"dimensionless"	"direct"	"0.62608805"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000037.xml"
