"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000134.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9937 0.112"	"dimensionless"	"Unit Vector"	"direct"	"1.93 272.67 0.0"	"micron"	"direct"	"19.875"	"micron^2"	"direct"	"5.031"	"micron"	"direct"	"8.274"	"micron"	"direct"	"3.2"	"micron"	"direct"	"19.65675"	"micron"	"direct"	"2.5155"	"micron"	"direct"	"0.38675369"	"dimensionless"	"direct"	"0.64638843"	"dimensionless"	"direct"	"0.92218305"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.939 0.344"	"dimensionless"	"Unit Vector"	"direct"	"4.81 331.06 0.0"	"micron"	"direct"	"91.9375"	"micron^2"	"direct"	"10.8205"	"micron"	"direct"	"12.51025"	"micron"	"direct"	"10.812"	"micron"	"direct"	"44.17775"	"micron"	"direct"	"5.41025"	"micron"	"direct"	"0.86425131"	"dimensionless"	"direct"	"0.5919641"	"dimensionless"	"direct"	"0.5030603"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.223 0.9748"	"dimensionless"	"Unit Vector"	"direct"	"4.6 299.87 0.0"	"micron"	"direct"	"45.25"	"micron^2"	"direct"	"7.591"	"micron"	"direct"	"8.206"	"micron"	"direct"	"7.12675"	"micron"	"direct"	"25.046"	"micron"	"direct"	"3.7955"	"micron"	"direct"	"0.86848038"	"dimensionless"	"direct"	"0.90646637"	"dimensionless"	"direct"	"0.49572354"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.7379 -0.6749"	"dimensionless"	"Unit Vector"	"direct"	"4.65 343.29 0.0"	"micron"	"direct"	"41.625"	"micron^2"	"direct"	"7.2805"	"micron"	"direct"	"8.07325"	"micron"	"direct"	"6.59925"	"micron"	"direct"	"24.14225"	"micron"	"direct"	"3.64025"	"micron"	"direct"	"0.81742173"	"dimensionless"	"direct"	"0.89744662"	"dimensionless"	"direct"	"0.57603968"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.8671 -0.4981"	"dimensionless"	"Unit Vector"	"direct"	"4.59 292.43 0.0"	"micron"	"direct"	"42.5"	"micron^2"	"direct"	"7.357"	"micron"	"direct"	"8.1005"	"micron"	"direct"	"6.7095"	"micron"	"direct"	"24.16725"	"micron"	"direct"	"3.6785"	"micron"	"direct"	"0.8282822"	"dimensionless"	"direct"	"0.91441707"	"dimensionless"	"direct"	"0.56031115"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.7326 -0.6806"	"dimensionless"	"Unit Vector"	"direct"	"3.6 360.63 0.0"	"micron"	"direct"	"14.8125"	"micron^2"	"direct"	"4.343"	"micron"	"direct"	"4.73125"	"micron"	"direct"	"4.026"	"micron"	"direct"	"14.12275"	"micron"	"direct"	"2.1715"	"micron"	"direct"	"0.85093791"	"dimensionless"	"direct"	"0.93325362"	"dimensionless"	"direct"	"0.52526628"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9977 -0.068"	"dimensionless"	"Unit Vector"	"direct"	"4.98 392.58 0.0"	"micron"	"direct"	"21.125"	"micron^2"	"direct"	"5.1865"	"micron"	"direct"	"5.64875"	"micron"	"direct"	"4.84"	"micron"	"direct"	"17.27825"	"micron"	"direct"	"2.59325"	"micron"	"direct"	"0.85682673"	"dimensionless"	"direct"	"0.8892156"	"dimensionless"	"direct"	"0.51560445"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.6654 0.7465"	"dimensionless"	"Unit Vector"	"direct"	"8.32 337.68 0.0"	"micron"	"direct"	"36.0625"	"micron^2"	"direct"	"6.777"	"micron"	"direct"	"7.55175"	"micron"	"direct"	"6.48"	"micron"	"direct"	"23.81375"	"micron"	"direct"	"3.3885"	"micron"	"direct"	"0.85807925"	"dimensionless"	"direct"	"0.79911653"	"dimensionless"	"direct"	"0.51351728"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.816 -0.578"	"dimensionless"	"Unit Vector"	"direct"	"9.57 458.16 0.0"	"micron"	"direct"	"36.0"	"micron^2"	"direct"	"6.771"	"micron"	"direct"	"9.1255"	"micron"	"direct"	"5.4165"	"micron"	"direct"	"27.4455"	"micron"	"direct"	"3.3855"	"micron"	"direct"	"0.59355652"	"dimensionless"	"direct"	"0.6005789"	"dimensionless"	"direct"	"0.80479231"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.522 0.853"	"dimensionless"	"Unit Vector"	"direct"	"8.58 305.68 0.0"	"micron"	"direct"	"13.625"	"micron^2"	"direct"	"4.1655"	"micron"	"direct"	"6.066"	"micron"	"direct"	"3.2375"	"micron"	"direct"	"16.62275"	"micron"	"direct"	"2.08275"	"micron"	"direct"	"0.5337125"	"dimensionless"	"direct"	"0.61964169"	"dimensionless"	"direct"	"0.84566599"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
"MCDS_S_0000000134.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.3189 -0.9478"	"dimensionless"	"Unit Vector"	"direct"	"10.88 467.97 0.0"	"micron"	"direct"	"67.5"	"micron^2"	"direct"	"9.2715"	"micron"	"direct"	"12.51175"	"micron"	"direct"	"7.537"	"micron"	"direct"	"35.46025"	"micron"	"direct"	"4.63575"	"micron"	"direct"	"0.60239375"	"dimensionless"	"direct"	"0.6745747"	"dimensionless"	"direct"	"0.79819908"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000134.xml"
