"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000208.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9698 0.2439"	"dimensionless"	"Unit Vector"	"direct"	"1.46 93.01 0.0"	"micron"	"direct"	"14.5625"	"micron^2"	"direct"	"4.3065"	"micron"	"direct"	"8.49875"	"micron"	"direct"	"2.22775"	"micron"	"direct"	"19.01925"	"micron"	"direct"	"2.15325"	"micron"	"direct"	"0.26212678"	"dimensionless"	"direct"	"0.50589342"	"dimensionless"	"direct"	"0.96503344"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.7441 -0.6681"	"dimensionless"	"Unit Vector"	"direct"	"3.39 238.04 0.0"	"micron"	"direct"	"28.1875"	"micron^2"	"direct"	"5.9915"	"micron"	"direct"	"9.781"	"micron"	"direct"	"4.259"	"micron"	"direct"	"26.503"	"micron"	"direct"	"2.99575"	"micron"	"direct"	"0.43543605"	"dimensionless"	"direct"	"0.50428535"	"dimensionless"	"direct"	"0.90021967"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.8461 0.5331"	"dimensionless"	"Unit Vector"	"direct"	"3.72 131.37 0.0"	"micron"	"direct"	"14.8125"	"micron^2"	"direct"	"4.343"	"micron"	"direct"	"6.23025"	"micron"	"direct"	"3.12325"	"micron"	"direct"	"15.77825"	"micron"	"direct"	"2.1715"	"micron"	"direct"	"0.50130412"	"dimensionless"	"direct"	"0.74768826"	"dimensionless"	"direct"	"0.86527116"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9422 -0.3351"	"dimensionless"	"Unit Vector"	"direct"	"7.46 198.76 0.0"	"micron"	"direct"	"57.9375"	"micron^2"	"direct"	"8.5895"	"micron"	"direct"	"14.7005"	"micron"	"direct"	"5.52125"	"micron"	"direct"	"37.63475"	"micron"	"direct"	"4.29475"	"micron"	"direct"	"0.37558246"	"dimensionless"	"direct"	"0.51403364"	"dimensionless"	"direct"	"0.92678898"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.7727 0.6348"	"dimensionless"	"Unit Vector"	"direct"	"7.07 145.86 0.0"	"micron"	"direct"	"27.75"	"micron^2"	"direct"	"5.9445"	"micron"	"direct"	"7.384"	"micron"	"direct"	"4.9225"	"micron"	"direct"	"20.87425"	"micron"	"direct"	"2.97225"	"micron"	"direct"	"0.6666441"	"dimensionless"	"direct"	"0.80029682"	"dimensionless"	"direct"	"0.74537618"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.107 -0.9943"	"dimensionless"	"Unit Vector"	"direct"	"8.91 164.6 0.0"	"micron"	"direct"	"35.6875"	"micron^2"	"direct"	"6.7415"	"micron"	"direct"	"9.01375"	"micron"	"direct"	"5.8585"	"micron"	"direct"	"27.66"	"micron"	"direct"	"3.37075"	"micron"	"direct"	"0.64995146"	"dimensionless"	"direct"	"0.58616737"	"dimensionless"	"direct"	"0.75997572"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.98 -0.199"	"dimensionless"	"Unit Vector"	"direct"	"12.23 154.46 0.0"	"micron"	"direct"	"140.375"	"micron^2"	"direct"	"13.3705"	"micron"	"direct"	"15.3345"	"micron"	"direct"	"12.60075"	"micron"	"direct"	"53.7325"	"micron"	"direct"	"6.68525"	"micron"	"direct"	"0.82172552"	"dimensionless"	"direct"	"0.61097795"	"dimensionless"	"direct"	"0.56988347"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.8711 0.4911"	"dimensionless"	"Unit Vector"	"direct"	"8.94 107.78 0.0"	"micron"	"direct"	"18.1875"	"micron^2"	"direct"	"4.8125"	"micron"	"direct"	"6.86325"	"micron"	"direct"	"4.43325"	"micron"	"direct"	"22.91725"	"micron"	"direct"	"2.40625"	"micron"	"direct"	"0.64594033"	"dimensionless"	"direct"	"0.43516892"	"dimensionless"	"direct"	"0.7633879"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.783 0.622"	"dimensionless"	"Unit Vector"	"direct"	"9.96 120.26 0.0"	"micron"	"direct"	"36.8125"	"micron^2"	"direct"	"6.847"	"micron"	"direct"	"8.7825"	"micron"	"direct"	"5.76475"	"micron"	"direct"	"26.77075"	"micron"	"direct"	"3.4235"	"micron"	"direct"	"0.65639055"	"dimensionless"	"direct"	"0.64548195"	"dimensionless"	"direct"	"0.75442127"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
"MCDS_S_0000000208.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.2991 -0.9542"	"dimensionless"	"Unit Vector"	"direct"	"12.74 135.33 0.0"	"micron"	"direct"	"81.875"	"micron^2"	"direct"	"10.211"	"micron"	"direct"	"11.6055"	"micron"	"direct"	"9.3635"	"micron"	"direct"	"39.42925"	"micron"	"direct"	"5.1055"	"micron"	"direct"	"0.80681573"	"dimensionless"	"direct"	"0.66179601"	"dimensionless"	"direct"	"0.59080316"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000208.xml"
