"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000284.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9929 0.119"	"dimensionless"	"Unit Vector"	"direct"	"1.77 96.77 0.0"	"micron"	"direct"	"14.0"	"micron^2"	"direct"	"4.2225"	"micron"	"direct"	"4.665"	"micron"	"direct"	"3.87775"	"micron"	"direct"	"13.74275"	"micron"	"direct"	"2.11125"	"micron"	"direct"	"0.8312433"	"dimensionless"	"direct"	"0.93151662"	"dimensionless"	"direct"	"0.55590878"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9802 -0.198"	"dimensionless"	"Unit Vector"	"direct"	"2.07 310.2 0.0"	"micron"	"direct"	"21.6875"	"micron^2"	"direct"	"5.2555"	"micron"	"direct"	"5.9395"	"micron"	"direct"	"4.9705"	"micron"	"direct"	"18.83875"	"micron"	"direct"	"2.62775"	"micron"	"direct"	"0.83685495"	"dimensionless"	"direct"	"0.76791861"	"dimensionless"	"direct"	"0.54742469"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.7031 0.7111"	"dimensionless"	"Unit Vector"	"direct"	"5.58 332.85 0.0"	"micron"	"direct"	"117.125"	"micron^2"	"direct"	"12.213"	"micron"	"direct"	"14.6375"	"micron"	"direct"	"10.619"	"micron"	"direct"	"46.74875"	"micron"	"direct"	"6.1065"	"micron"	"direct"	"0.72546541"	"dimensionless"	"direct"	"0.67347187"	"dimensionless"	"direct"	"0.68825862"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.177 -0.9842"	"dimensionless"	"Unit Vector"	"direct"	"3.26 271.23 0.0"	"micron"	"direct"	"16.125"	"micron^2"	"direct"	"4.5315"	"micron"	"direct"	"7.3875"	"micron"	"direct"	"2.86975"	"micron"	"direct"	"17.44975"	"micron"	"direct"	"2.26575"	"micron"	"direct"	"0.38846024"	"dimensionless"	"direct"	"0.66547412"	"dimensionless"	"direct"	"0.92146549"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9861 0.166"	"dimensionless"	"Unit Vector"	"direct"	"2.29 318.93 0.0"	"micron"	"direct"	"38.0625"	"micron^2"	"direct"	"6.962"	"micron"	"direct"	"10.06575"	"micron"	"direct"	"5.3625"	"micron"	"direct"	"28.45125"	"micron"	"direct"	"3.481"	"micron"	"direct"	"0.53274719"	"dimensionless"	"direct"	"0.59088705"	"dimensionless"	"direct"	"0.84627444"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.243 -0.97"	"dimensionless"	"Unit Vector"	"direct"	"8.17 307.74 0.0"	"micron"	"direct"	"51.1875"	"micron^2"	"direct"	"8.074"	"micron"	"direct"	"10.29925"	"micron"	"direct"	"6.484"	"micron"	"direct"	"28.4705"	"micron"	"direct"	"4.037"	"micron"	"direct"	"0.6295604"	"dimensionless"	"direct"	"0.79356699"	"dimensionless"	"direct"	"0.77695154"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.5082 0.8613"	"dimensionless"	"Unit Vector"	"direct"	"13.0 336.99 0.0"	"micron"	"direct"	"87.1875"	"micron^2"	"direct"	"10.537"	"micron"	"direct"	"16.86"	"micron"	"direct"	"7.4015"	"micron"	"direct"	"49.0165"	"micron"	"direct"	"5.2685"	"micron"	"direct"	"0.43899763"	"dimensionless"	"direct"	"0.45601538"	"dimensionless"	"direct"	"0.89848822"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.5792 -0.8152"	"dimensionless"	"Unit Vector"	"direct"	"8.68 314.85 0.0"	"micron"	"direct"	"52.375"	"micron^2"	"direct"	"8.167"	"micron"	"direct"	"8.865"	"micron"	"direct"	"7.7385"	"micron"	"direct"	"28.3225"	"micron"	"direct"	"4.0835"	"micron"	"direct"	"0.87292724"	"dimensionless"	"direct"	"0.82048516"	"dimensionless"	"direct"	"0.48785042"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9085 0.4178"	"dimensionless"	"Unit Vector"	"direct"	"12.59 300.69 0.0"	"micron"	"direct"	"75.375"	"micron^2"	"direct"	"9.7975"	"micron"	"direct"	"13.022"	"micron"	"direct"	"8.571"	"micron"	"direct"	"38.89525"	"micron"	"direct"	"4.89875"	"micron"	"direct"	"0.65819383"	"dimensionless"	"direct"	"0.62610051"	"dimensionless"	"direct"	"0.75284852"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.8916 0.4528"	"dimensionless"	"Unit Vector"	"direct"	"10.99 82.48 0.0"	"micron"	"direct"	"27.8125"	"micron^2"	"direct"	"5.9515"	"micron"	"direct"	"7.55875"	"micron"	"direct"	"5.13775"	"micron"	"direct"	"23.02075"	"micron"	"direct"	"2.97575"	"micron"	"direct"	"0.67970895"	"dimensionless"	"direct"	"0.65949416"	"dimensionless"	"direct"	"0.73348193"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.9941 -0.108"	"dimensionless"	"Unit Vector"	"direct"	"12.19 245.16 0.0"	"micron"	"direct"	"38.8125"	"micron^2"	"direct"	"7.0305"	"micron"	"direct"	"9.88225"	"micron"	"direct"	"5.295"	"micron"	"direct"	"27.978"	"micron"	"direct"	"3.51525"	"micron"	"direct"	"0.53580915"	"dimensionless"	"direct"	"0.62308622"	"dimensionless"	"direct"	"0.84433912"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.9461 0.324"	"dimensionless"	"Unit Vector"	"direct"	"12.22 177.64 0.0"	"micron"	"direct"	"17.9375"	"micron^2"	"direct"	"4.7795"	"micron"	"direct"	"8.8585"	"micron"	"direct"	"2.6205"	"micron"	"direct"	"20.13175"	"micron"	"direct"	"2.38975"	"micron"	"direct"	"0.29581758"	"dimensionless"	"direct"	"0.55617149"	"dimensionless"	"direct"	"0.95524445"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.12"	"Geometrical Property Characterization"	"individual"	"nucleus"	"12"	"0.1761 -0.9844"	"dimensionless"	"Unit Vector"	"direct"	"13.83 322.96 0.0"	"micron"	"direct"	"33.4375"	"micron^2"	"direct"	"6.5255"	"micron"	"direct"	"7.8605"	"micron"	"direct"	"5.5065"	"micron"	"direct"	"22.1925"	"micron"	"direct"	"3.26275"	"micron"	"direct"	"0.70052796"	"dimensionless"	"direct"	"0.85316142"	"dimensionless"	"direct"	"0.71362496"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.13"	"Geometrical Property Characterization"	"individual"	"nucleus"	"13"	"0.5989 0.8008"	"dimensionless"	"Unit Vector"	"direct"	"17.7 310.87 0.0"	"micron"	"direct"	"39.5"	"micron^2"	"direct"	"7.0925"	"micron"	"direct"	"10.1065"	"micron"	"direct"	"5.028"	"micron"	"direct"	"25.37425"	"micron"	"direct"	"3.54625"	"micron"	"direct"	"0.49750161"	"dimensionless"	"direct"	"0.77093991"	"dimensionless"	"direct"	"0.86746305"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.14"	"Geometrical Property Characterization"	"individual"	"nucleus"	"14"	"0.783 0.622"	"dimensionless"	"Unit Vector"	"direct"	"17.56 272.2 0.0"	"micron"	"direct"	"21.4375"	"micron^2"	"direct"	"5.225"	"micron"	"direct"	"7.8585"	"micron"	"direct"	"3.516"	"micron"	"direct"	"18.87425"	"micron"	"direct"	"2.6125"	"micron"	"direct"	"0.44741363"	"dimensionless"	"direct"	"0.75621379"	"dimensionless"	"direct"	"0.89432715"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.15"	"Geometrical Property Characterization"	"individual"	"nucleus"	"15"	"0.6248 -0.7808"	"dimensionless"	"Unit Vector"	"direct"	"19.72 304.02 0.0"	"micron"	"direct"	"34.8125"	"micron^2"	"direct"	"6.6585"	"micron"	"direct"	"7.42725"	"micron"	"direct"	"6.19375"	"micron"	"direct"	"23.16725"	"micron"	"direct"	"3.32925"	"micron"	"direct"	"0.83392238"	"dimensionless"	"direct"	"0.81507225"	"dimensionless"	"direct"	"0.55188175"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.16"	"Geometrical Property Characterization"	"individual"	"nucleus"	"16"	"0.9173 0.3981"	"dimensionless"	"Unit Vector"	"direct"	"21.71 327.93 0.0"	"micron"	"direct"	"45.4375"	"micron^2"	"direct"	"7.607"	"micron"	"direct"	"9.38525"	"micron"	"direct"	"6.268"	"micron"	"direct"	"26.37425"	"micron"	"direct"	"3.8035"	"micron"	"direct"	"0.66785648"	"dimensionless"	"direct"	"0.82085048"	"dimensionless"	"direct"	"0.74429008"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.17"	"Geometrical Property Characterization"	"individual"	"nucleus"	"17"	"0.7887 0.6148"	"dimensionless"	"Unit Vector"	"direct"	"21.78 95.74 0.0"	"micron"	"direct"	"29.4375"	"micron^2"	"direct"	"6.1225"	"micron"	"direct"	"10.2585"	"micron"	"direct"	"3.69125"	"micron"	"direct"	"23.84925"	"micron"	"direct"	"3.06125"	"micron"	"direct"	"0.35982356"	"dimensionless"	"direct"	"0.65037125"	"dimensionless"	"direct"	"0.93302037"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
"MCDS_S_0000000284.0.18"	"Geometrical Property Characterization"	"individual"	"nucleus"	"18"	"0.6832 0.7302"	"dimensionless"	"Unit Vector"	"direct"	"22.42 290.74 0.0"	"micron"	"direct"	"26.0"	"micron^2"	"direct"	"5.754"	"micron"	"direct"	"8.33725"	"micron"	"direct"	"4.035"	"micron"	"direct"	"20.5815"	"micron"	"direct"	"2.877"	"micron"	"direct"	"0.48397253"	"dimensionless"	"direct"	"0.77131036"	"dimensionless"	"direct"	"0.87508319"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000284.xml"
