"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000059.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.7576 0.6527"	"dimensionless"	"Unit Vector"	"direct"	"1.89 41.65 0.0"	"micron"	"direct"	"13.1875"	"micron^2"	"direct"	"4.098"	"micron"	"direct"	"4.99675"	"micron"	"direct"	"3.8675"	"micron"	"direct"	"19.398"	"micron"	"direct"	"2.049"	"micron"	"direct"	"0.7740031"	"dimensionless"	"direct"	"0.44041127"	"dimensionless"	"direct"	"0.6331818"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.2239 0.9746"	"dimensionless"	"Unit Vector"	"direct"	"2.25 46.68 0.0"	"micron"	"direct"	"12.6875"	"micron^2"	"direct"	"4.0195"	"micron"	"direct"	"5.585"	"micron"	"direct"	"3.266"	"micron"	"direct"	"15.94975"	"micron"	"direct"	"2.00975"	"micron"	"direct"	"0.58478066"	"dimensionless"	"direct"	"0.62672664"	"dimensionless"	"direct"	"0.81119146"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9191 0.394"	"dimensionless"	"Unit Vector"	"direct"	"4.24 73.37 0.0"	"micron"	"direct"	"62.0"	"micron^2"	"direct"	"8.8855"	"micron"	"direct"	"10.19325"	"micron"	"direct"	"8.14825"	"micron"	"direct"	"38.98825"	"micron"	"direct"	"4.44275"	"micron"	"direct"	"0.79937704"	"dimensionless"	"direct"	"0.51254744"	"dimensionless"	"direct"	"0.60082972"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.448 0.894"	"dimensionless"	"Unit Vector"	"direct"	"2.46 81.59 0.0"	"micron"	"direct"	"15.5"	"micron^2"	"direct"	"4.443"	"micron"	"direct"	"6.0105"	"micron"	"direct"	"3.64725"	"micron"	"direct"	"18.071"	"micron"	"direct"	"2.2215"	"micron"	"direct"	"0.60681308"	"dimensionless"	"direct"	"0.59645432"	"dimensionless"	"direct"	"0.79484457"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.3928 0.9196"	"dimensionless"	"Unit Vector"	"direct"	"3.24 86.28 0.0"	"micron"	"direct"	"24.4375"	"micron^2"	"direct"	"5.5785"	"micron"	"direct"	"7.10375"	"micron"	"direct"	"5.01775"	"micron"	"direct"	"24.6495"	"micron"	"direct"	"2.78925"	"micron"	"direct"	"0.70635228"	"dimensionless"	"direct"	"0.50541766"	"dimensionless"	"direct"	"0.70786048"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.29 -0.957"	"dimensionless"	"Unit Vector"	"direct"	"2.48 123.88 0.0"	"micron"	"direct"	"17.6875"	"micron^2"	"direct"	"4.746"	"micron"	"direct"	"5.62675"	"micron"	"direct"	"4.3875"	"micron"	"direct"	"21.1405"	"micron"	"direct"	"2.373"	"micron"	"direct"	"0.77975741"	"dimensionless"	"direct"	"0.49733132"	"dimensionless"	"direct"	"0.62608177"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.4178 -0.9085"	"dimensionless"	"Unit Vector"	"direct"	"3.81 267.55 0.0"	"micron"	"direct"	"25.125"	"micron^2"	"direct"	"5.6565"	"micron"	"direct"	"6.8315"	"micron"	"direct"	"5.22975"	"micron"	"direct"	"27.77075"	"micron"	"direct"	"2.82825"	"micron"	"direct"	"0.76553466"	"dimensionless"	"direct"	"0.40939329"	"dimensionless"	"direct"	"0.64339466"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9848 -0.174"	"dimensionless"	"Unit Vector"	"direct"	"2.54 319.33 0.0"	"micron"	"direct"	"48.5"	"micron^2"	"direct"	"7.859"	"micron"	"direct"	"11.419"	"micron"	"direct"	"6.29"	"micron"	"direct"	"34.99575"	"micron"	"direct"	"3.9295"	"micron"	"direct"	"0.55083633"	"dimensionless"	"direct"	"0.49764654"	"dimensionless"	"direct"	"0.83461329"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.365 -0.931"	"dimensionless"	"Unit Vector"	"direct"	"4.37 272.59 0.0"	"micron"	"direct"	"19.0625"	"micron^2"	"direct"	"4.927"	"micron"	"direct"	"6.83825"	"micron"	"direct"	"4.0015"	"micron"	"direct"	"22.96025"	"micron"	"direct"	"2.4635"	"micron"	"direct"	"0.58516433"	"dimensionless"	"direct"	"0.45439809"	"dimensionless"	"direct"	"0.81091473"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.8817 -0.4718"	"dimensionless"	"Unit Vector"	"direct"	"4.93 310.85 0.0"	"micron"	"direct"	"36.125"	"micron^2"	"direct"	"6.7825"	"micron"	"direct"	"8.1745"	"micron"	"direct"	"6.24275"	"micron"	"direct"	"28.84925"	"micron"	"direct"	"3.39125"	"micron"	"direct"	"0.76368585"	"dimensionless"	"direct"	"0.54544211"	"dimensionless"	"direct"	"0.64558804"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.2149 0.9766"	"dimensionless"	"Unit Vector"	"direct"	"6.06 295.52 0.0"	"micron"	"direct"	"27.1875"	"micron^2"	"direct"	"5.884"	"micron"	"direct"	"7.4235"	"micron"	"direct"	"6.5555"	"micron"	"direct"	"32.41875"	"micron"	"direct"	"2.942"	"micron"	"direct"	"0.88307402"	"dimensionless"	"direct"	"0.32507727"	"dimensionless"	"direct"	"0.46923371"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.097 -0.9953"	"dimensionless"	"Unit Vector"	"direct"	"6.73 116.78 0.0"	"micron"	"direct"	"21.5625"	"micron^2"	"direct"	"5.24"	"micron"	"direct"	"7.79475"	"micron"	"direct"	"3.96525"	"micron"	"direct"	"23.70125"	"micron"	"direct"	"2.62"	"micron"	"direct"	"0.50870778"	"dimensionless"	"direct"	"0.48235465"	"dimensionless"	"direct"	"0.86093925"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.12"	"Geometrical Property Characterization"	"individual"	"nucleus"	"12"	"0.8076 0.5897"	"dimensionless"	"Unit Vector"	"direct"	"9.05 48.7 0.0"	"micron"	"direct"	"65.4375"	"micron^2"	"direct"	"9.1285"	"micron"	"direct"	"10.89625"	"micron"	"direct"	"7.87475"	"micron"	"direct"	"36.42775"	"micron"	"direct"	"4.56425"	"micron"	"direct"	"0.72270276"	"dimensionless"	"direct"	"0.61968626"	"dimensionless"	"direct"	"0.69115896"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.13"	"Geometrical Property Characterization"	"individual"	"nucleus"	"13"	"0.7488 0.6628"	"dimensionless"	"Unit Vector"	"direct"	"9.76 29.42 0.0"	"micron"	"direct"	"41.0625"	"micron^2"	"direct"	"7.2315"	"micron"	"direct"	"9.431"	"micron"	"direct"	"6.221"	"micron"	"direct"	"36.60075"	"micron"	"direct"	"3.61575"	"micron"	"direct"	"0.65963312"	"dimensionless"	"direct"	"0.38519025"	"dimensionless"	"direct"	"0.75158775"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.14"	"Geometrical Property Characterization"	"individual"	"nucleus"	"14"	"0.816 0.578"	"dimensionless"	"Unit Vector"	"direct"	"8.83 172.09 0.0"	"micron"	"direct"	"40.375"	"micron^2"	"direct"	"7.1705"	"micron"	"direct"	"8.98075"	"micron"	"direct"	"6.2835"	"micron"	"direct"	"30.45275"	"micron"	"direct"	"3.58525"	"micron"	"direct"	"0.69966317"	"dimensionless"	"direct"	"0.54710334"	"dimensionless"	"direct"	"0.71447285"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.15"	"Geometrical Property Characterization"	"individual"	"nucleus"	"15"	"0.8073 -0.5902"	"dimensionless"	"Unit Vector"	"direct"	"9.22 105.69 0.0"	"micron"	"direct"	"18.625"	"micron^2"	"direct"	"4.87"	"micron"	"direct"	"6.966"	"micron"	"direct"	"5.07575"	"micron"	"direct"	"25.9085"	"micron"	"direct"	"2.435"	"micron"	"direct"	"0.72864628"	"dimensionless"	"direct"	"0.34867564"	"dimensionless"	"direct"	"0.68489021"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.16"	"Geometrical Property Characterization"	"individual"	"nucleus"	"16"	"0.8226 -0.5687"	"dimensionless"	"Unit Vector"	"direct"	"9.72 240.28 0.0"	"micron"	"direct"	"45.4375"	"micron^2"	"direct"	"7.607"	"micron"	"direct"	"9.104"	"micron"	"direct"	"6.85375"	"micron"	"direct"	"31.41875"	"micron"	"direct"	"3.8035"	"micron"	"direct"	"0.75282843"	"dimensionless"	"direct"	"0.57842424"	"dimensionless"	"direct"	"0.6582168"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.17"	"Geometrical Property Characterization"	"individual"	"nucleus"	"17"	"0.179 -0.9839"	"dimensionless"	"Unit Vector"	"direct"	"11.81 187.99 0.0"	"micron"	"direct"	"53.375"	"micron^2"	"direct"	"8.2445"	"micron"	"direct"	"9.28975"	"micron"	"direct"	"7.6895"	"micron"	"direct"	"30.52075"	"micron"	"direct"	"4.12225"	"micron"	"direct"	"0.82774025"	"dimensionless"	"direct"	"0.7200412"	"dimensionless"	"direct"	"0.56111147"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.18"	"Geometrical Property Characterization"	"individual"	"nucleus"	"18"	"0.444 -0.896"	"dimensionless"	"Unit Vector"	"direct"	"10.5 193.3 0.0"	"micron"	"direct"	"16.625"	"micron^2"	"direct"	"4.6015"	"micron"	"direct"	"7.93825"	"micron"	"direct"	"3.4245"	"micron"	"direct"	"22.253"	"micron"	"direct"	"2.30075"	"micron"	"direct"	"0.43139231"	"dimensionless"	"direct"	"0.42188529"	"dimensionless"	"direct"	"0.90216444"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.19"	"Geometrical Property Characterization"	"individual"	"nucleus"	"19"	"0.6281 0.7781"	"dimensionless"	"Unit Vector"	"direct"	"10.04 36.44 0.0"	"micron"	"direct"	"14.625"	"micron^2"	"direct"	"4.3155"	"micron"	"direct"	"5.03725"	"micron"	"direct"	"3.933"	"micron"	"direct"	"16.4245"	"micron"	"direct"	"2.15775"	"micron"	"direct"	"0.78078317"	"dimensionless"	"direct"	"0.68127339"	"dimensionless"	"direct"	"0.62480209"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
"MCDS_S_0000000059.0.20"	"Geometrical Property Characterization"	"individual"	"nucleus"	"20"	"0.347 0.9379"	"dimensionless"	"Unit Vector"	"direct"	"11.64 6.67 0.0"	"micron"	"direct"	"14.375"	"micron^2"	"direct"	"4.2785"	"micron"	"direct"	"6.33175"	"micron"	"direct"	"3.05575"	"micron"	"direct"	"18.08"	"micron"	"direct"	"2.13925"	"micron"	"direct"	"0.48260749"	"dimensionless"	"direct"	"0.5526127"	"dimensionless"	"direct"	"0.87583675"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000059.xml"
