"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000249.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.6691 0.7431"	"dimensionless"	"Unit Vector"	"direct"	"2.41 31.23 0.0"	"micron"	"direct"	"13.5"	"micron^2"	"direct"	"4.1465"	"micron"	"direct"	"8.59325"	"micron"	"direct"	"2.195"	"micron"	"direct"	"18.6155"	"micron"	"direct"	"2.07325"	"micron"	"direct"	"0.25543304"	"dimensionless"	"direct"	"0.48954681"	"dimensionless"	"direct"	"0.96682675"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9979 -0.065"	"dimensionless"	"Unit Vector"	"direct"	"1.56 70.34 0.0"	"micron"	"direct"	"27.1875"	"micron^2"	"direct"	"5.884"	"micron"	"direct"	"8.8025"	"micron"	"direct"	"4.13075"	"micron"	"direct"	"21.5105"	"micron"	"direct"	"2.942"	"micron"	"direct"	"0.46927009"	"dimensionless"	"direct"	"0.73837694"	"dimensionless"	"direct"	"0.88305469"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9779 -0.209"	"dimensionless"	"Unit Vector"	"direct"	"1.23 175.01 0.0"	"micron"	"direct"	"20.25"	"micron^2"	"direct"	"5.078"	"micron"	"direct"	"9.381"	"micron"	"direct"	"3.27"	"micron"	"direct"	"22.44975"	"micron"	"direct"	"2.539"	"micron"	"direct"	"0.34857691"	"dimensionless"	"direct"	"0.50490756"	"dimensionless"	"direct"	"0.93728018"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9995 -0.032"	"dimensionless"	"Unit Vector"	"direct"	"1.03 223.39 0.0"	"micron"	"direct"	"15.625"	"micron^2"	"direct"	"4.4605"	"micron"	"direct"	"7.46225"	"micron"	"direct"	"2.75475"	"micron"	"direct"	"17.0355"	"micron"	"direct"	"2.23025"	"micron"	"direct"	"0.3691581"	"dimensionless"	"direct"	"0.6765815"	"dimensionless"	"direct"	"0.92936661"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9975 -0.07"	"dimensionless"	"Unit Vector"	"direct"	"1.51 242.56 0.0"	"micron"	"direct"	"29.625"	"micron^2"	"direct"	"6.142"	"micron"	"direct"	"10.0675"	"micron"	"direct"	"4.038"	"micron"	"direct"	"23.9245"	"micron"	"direct"	"3.071"	"micron"	"direct"	"0.40109262"	"dimensionless"	"direct"	"0.65040292"	"dimensionless"	"direct"	"0.9160375"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.976 0.218"	"dimensionless"	"Unit Vector"	"direct"	"1.68 261.79 0.0"	"micron"	"direct"	"20.625"	"micron^2"	"direct"	"5.125"	"micron"	"direct"	"6.56575"	"micron"	"direct"	"4.114"	"micron"	"direct"	"17.59625"	"micron"	"direct"	"2.5625"	"micron"	"direct"	"0.62658493"	"dimensionless"	"direct"	"0.83707346"	"dimensionless"	"direct"	"0.77935315"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9397 0.3419"	"dimensionless"	"Unit Vector"	"direct"	"1.54 317.22 0.0"	"micron"	"direct"	"19.875"	"micron^2"	"direct"	"5.031"	"micron"	"direct"	"7.41325"	"micron"	"direct"	"3.80375"	"micron"	"direct"	"19.364"	"micron"	"direct"	"2.5155"	"micron"	"direct"	"0.51310154"	"dimensionless"	"direct"	"0.66608071"	"dimensionless"	"direct"	"0.85832791"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.4092 -0.9124"	"dimensionless"	"Unit Vector"	"direct"	"2.9 381.62 0.0"	"micron"	"direct"	"34.0"	"micron^2"	"direct"	"6.58"	"micron"	"direct"	"7.03775"	"micron"	"direct"	"6.2485"	"micron"	"direct"	"21.83875"	"micron"	"direct"	"3.29"	"micron"	"direct"	"0.88785478"	"dimensionless"	"direct"	"0.89584573"	"dimensionless"	"direct"	"0.46012377"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.174 -0.9848"	"dimensionless"	"Unit Vector"	"direct"	"3.63 388.15 0.0"	"micron"	"direct"	"27.0625"	"micron^2"	"direct"	"5.8705"	"micron"	"direct"	"8.72425"	"micron"	"direct"	"4.086"	"micron"	"direct"	"22.071"	"micron"	"direct"	"2.93525"	"micron"	"direct"	"0.46834971"	"dimensionless"	"direct"	"0.69812591"	"dimensionless"	"direct"	"0.88354318"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.7031 0.7111"	"dimensionless"	"Unit Vector"	"direct"	"2.72 395.54 0.0"	"micron"	"direct"	"33.8125"	"micron^2"	"direct"	"6.562"	"micron"	"direct"	"7.6905"	"micron"	"direct"	"5.7905"	"micron"	"direct"	"22.48525"	"micron"	"direct"	"3.281"	"micron"	"direct"	"0.75294194"	"dimensionless"	"direct"	"0.84041096"	"dimensionless"	"direct"	"0.65808695"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"1.0 0.005"	"dimensionless"	"Unit Vector"	"direct"	"3.33 61.38 0.0"	"micron"	"direct"	"44.375"	"micron^2"	"direct"	"7.5175"	"micron"	"direct"	"9.05975"	"micron"	"direct"	"6.3475"	"micron"	"direct"	"25.52075"	"micron"	"direct"	"3.75875"	"micron"	"direct"	"0.7006264"	"dimensionless"	"direct"	"0.85617268"	"dimensionless"	"direct"	"0.71352831"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.8817 0.4718"	"dimensionless"	"Unit Vector"	"direct"	"3.83 276.99 0.0"	"micron"	"direct"	"44.0"	"micron^2"	"direct"	"7.4855"	"micron"	"direct"	"8.176"	"micron"	"direct"	"6.93075"	"micron"	"direct"	"24.728"	"micron"	"direct"	"3.74275"	"micron"	"direct"	"0.84769447"	"dimensionless"	"direct"	"0.90424175"	"dimensionless"	"direct"	"0.53048476"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.12"	"Geometrical Property Characterization"	"individual"	"nucleus"	"12"	"0.9839 0.179"	"dimensionless"	"Unit Vector"	"direct"	"3.07 291.32 0.0"	"micron"	"direct"	"31.5625"	"micron^2"	"direct"	"6.34"	"micron"	"direct"	"7.3155"	"micron"	"direct"	"5.5105"	"micron"	"direct"	"20.6925"	"micron"	"direct"	"3.17"	"micron"	"direct"	"0.75326362"	"dimensionless"	"direct"	"0.92630782"	"dimensionless"	"direct"	"0.65771873"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.13"	"Geometrical Property Characterization"	"individual"	"nucleus"	"13"	"0.5861 -0.8102"	"dimensionless"	"Unit Vector"	"direct"	"4.77 203.8 0.0"	"micron"	"direct"	"34.25"	"micron^2"	"direct"	"6.6045"	"micron"	"direct"	"7.1705"	"micron"	"direct"	"6.143"	"micron"	"direct"	"21.728"	"micron"	"direct"	"3.30225"	"micron"	"direct"	"0.85670455"	"dimensionless"	"direct"	"0.91165587"	"dimensionless"	"direct"	"0.51580743"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.14"	"Geometrical Property Characterization"	"individual"	"nucleus"	"14"	"0.994 0.109"	"dimensionless"	"Unit Vector"	"direct"	"4.01 371.27 0.0"	"micron"	"direct"	"34.75"	"micron^2"	"direct"	"6.6525"	"micron"	"direct"	"8.1475"	"micron"	"direct"	"5.5245"	"micron"	"direct"	"22.48525"	"micron"	"direct"	"3.32625"	"micron"	"direct"	"0.67806075"	"dimensionless"	"direct"	"0.86371255"	"dimensionless"	"direct"	"0.73500586"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.15"	"Geometrical Property Characterization"	"individual"	"nucleus"	"15"	"0.7302 0.6832"	"dimensionless"	"Unit Vector"	"direct"	"5.33 342.14 0.0"	"micron"	"direct"	"37.0625"	"micron^2"	"direct"	"6.87"	"micron"	"direct"	"7.24375"	"micron"	"direct"	"6.54575"	"micron"	"direct"	"22.16725"	"micron"	"direct"	"3.435"	"micron"	"direct"	"0.90364107"	"dimensionless"	"direct"	"0.94780924"	"dimensionless"	"direct"	"0.42829058"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.16"	"Geometrical Property Characterization"	"individual"	"nucleus"	"16"	"0.994 -0.109"	"dimensionless"	"Unit Vector"	"direct"	"5.02 162.65 0.0"	"micron"	"direct"	"33.1875"	"micron^2"	"direct"	"6.501"	"micron"	"direct"	"8.1765"	"micron"	"direct"	"5.39475"	"micron"	"direct"	"23.98525"	"micron"	"direct"	"3.2505"	"micron"	"direct"	"0.6597872"	"dimensionless"	"direct"	"0.72492972"	"dimensionless"	"direct"	"0.7514525"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.17"	"Geometrical Property Characterization"	"individual"	"nucleus"	"17"	"0.9545 0.2982"	"dimensionless"	"Unit Vector"	"direct"	"5.34 305.87 0.0"	"micron"	"direct"	"22.375"	"micron^2"	"direct"	"5.338"	"micron"	"direct"	"6.06125"	"micron"	"direct"	"4.77875"	"micron"	"direct"	"18.33875"	"micron"	"direct"	"2.669"	"micron"	"direct"	"0.78840998"	"dimensionless"	"direct"	"0.8360523"	"dimensionless"	"direct"	"0.61515015"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.18"	"Geometrical Property Characterization"	"individual"	"nucleus"	"18"	"0.208 -0.9781"	"dimensionless"	"Unit Vector"	"direct"	"5.18 328.95 0.0"	"micron"	"direct"	"21.125"	"micron^2"	"direct"	"5.1865"	"micron"	"direct"	"5.5325"	"micron"	"direct"	"5.097"	"micron"	"direct"	"17.7265"	"micron"	"direct"	"2.59325"	"micron"	"direct"	"0.92128333"	"dimensionless"	"direct"	"0.84481301"	"dimensionless"	"direct"	"0.38889206"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.19"	"Geometrical Property Characterization"	"individual"	"nucleus"	"19"	"0.2369 0.9715"	"dimensionless"	"Unit Vector"	"direct"	"6.61 324.66 0.0"	"micron"	"direct"	"19.8125"	"micron^2"	"direct"	"5.023"	"micron"	"direct"	"5.798"	"micron"	"direct"	"4.433"	"micron"	"direct"	"16.6925"	"micron"	"direct"	"2.5115"	"micron"	"direct"	"0.76457399"	"dimensionless"	"direct"	"0.89352431"	"dimensionless"	"direct"	"0.64453597"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.20"	"Geometrical Property Characterization"	"individual"	"nucleus"	"20"	"0.7507 0.6607"	"dimensionless"	"Unit Vector"	"direct"	"6.8 50.65 0.0"	"micron"	"direct"	"21.1875"	"micron^2"	"direct"	"5.1945"	"micron"	"direct"	"5.83875"	"micron"	"direct"	"4.66675"	"micron"	"direct"	"16.8995"	"micron"	"direct"	"2.59725"	"micron"	"direct"	"0.7992721"	"dimensionless"	"direct"	"0.93227034"	"dimensionless"	"direct"	"0.6009693"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.21"	"Geometrical Property Characterization"	"individual"	"nucleus"	"21"	"0.8461 -0.5331"	"dimensionless"	"Unit Vector"	"direct"	"7.94 225.3 0.0"	"micron"	"direct"	"54.0625"	"micron^2"	"direct"	"8.2975"	"micron"	"direct"	"10.17325"	"micron"	"direct"	"6.85475"	"micron"	"direct"	"28.2885"	"micron"	"direct"	"4.14875"	"micron"	"direct"	"0.67380139"	"dimensionless"	"direct"	"0.84895789"	"dimensionless"	"direct"	"0.7389125"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.22"	"Geometrical Property Characterization"	"individual"	"nucleus"	"22"	"0.9975 0.071"	"dimensionless"	"Unit Vector"	"direct"	"6.44 237.88 0.0"	"micron"	"direct"	"33.1875"	"micron^2"	"direct"	"6.501"	"micron"	"direct"	"9.712"	"micron"	"direct"	"4.4275"	"micron"	"direct"	"24.13175"	"micron"	"direct"	"3.2505"	"micron"	"direct"	"0.45587932"	"dimensionless"	"direct"	"0.71615457"	"dimensionless"	"direct"	"0.8900416"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.23"	"Geometrical Property Characterization"	"individual"	"nucleus"	"23"	"0.698 -0.7161"	"dimensionless"	"Unit Vector"	"direct"	"8.73 198.69 0.0"	"micron"	"direct"	"50.25"	"micron^2"	"direct"	"7.9995"	"micron"	"direct"	"9.09575"	"micron"	"direct"	"7.09075"	"micron"	"direct"	"26.55625"	"micron"	"direct"	"3.99975"	"micron"	"direct"	"0.77956738"	"dimensionless"	"direct"	"0.8953904"	"dimensionless"	"direct"	"0.62631837"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.24"	"Geometrical Property Characterization"	"individual"	"nucleus"	"24"	"0.8855 -0.4647"	"dimensionless"	"Unit Vector"	"direct"	"9.12 251.18 0.0"	"micron"	"direct"	"40.75"	"micron^2"	"direct"	"7.204"	"micron"	"direct"	"8.3395"	"micron"	"direct"	"6.258"	"micron"	"direct"	"24.16725"	"micron"	"direct"	"3.602"	"micron"	"direct"	"0.7504047"	"dimensionless"	"direct"	"0.8767646"	"dimensionless"	"direct"	"0.66097866"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.25"	"Geometrical Property Characterization"	"individual"	"nucleus"	"25"	"0.021 -0.9998"	"dimensionless"	"Unit Vector"	"direct"	"9.64 218.25 0.0"	"micron"	"direct"	"25.25"	"micron^2"	"direct"	"5.6705"	"micron"	"direct"	"6.34875"	"micron"	"direct"	"5.08975"	"micron"	"direct"	"18.63175"	"micron"	"direct"	"2.83525"	"micron"	"direct"	"0.80169325"	"dimensionless"	"direct"	"0.91403737"	"dimensionless"	"direct"	"0.59773568"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.26"	"Geometrical Property Characterization"	"individual"	"nucleus"	"26"	"0.8718 0.4899"	"dimensionless"	"Unit Vector"	"direct"	"10.33 265.76 0.0"	"micron"	"direct"	"21.5"	"micron^2"	"direct"	"5.2325"	"micron"	"direct"	"6.89725"	"micron"	"direct"	"4.02425"	"micron"	"direct"	"17.98525"	"micron"	"direct"	"2.61625"	"micron"	"direct"	"0.58345717"	"dimensionless"	"direct"	"0.83524785"	"dimensionless"	"direct"	"0.81214391"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.27"	"Geometrical Property Characterization"	"individual"	"nucleus"	"27"	"0.9946 -0.104"	"dimensionless"	"Unit Vector"	"direct"	"11.66 283.23 0.0"	"micron"	"direct"	"49.0625"	"micron^2"	"direct"	"7.9045"	"micron"	"direct"	"8.47825"	"micron"	"direct"	"7.37325"	"micron"	"direct"	"25.5815"	"micron"	"direct"	"3.95225"	"micron"	"direct"	"0.8696665"	"dimensionless"	"direct"	"0.94212282"	"dimensionless"	"direct"	"0.49363973"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.28"	"Geometrical Property Characterization"	"individual"	"nucleus"	"28"	"0.173 0.9849"	"dimensionless"	"Unit Vector"	"direct"	"10.56 384.75 0.0"	"micron"	"direct"	"17.25"	"micron^2"	"direct"	"4.687"	"micron"	"direct"	"5.4725"	"micron"	"direct"	"4.07975"	"micron"	"direct"	"15.864"	"micron"	"direct"	"2.3435"	"micron"	"direct"	"0.74550023"	"dimensionless"	"direct"	"0.86133791"	"dimensionless"	"direct"	"0.66650537"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.29"	"Geometrical Property Characterization"	"individual"	"nucleus"	"29"	"0.9376 0.3478"	"dimensionless"	"Unit Vector"	"direct"	"11.53 392.97 0.0"	"micron"	"direct"	"42.1875"	"micron^2"	"direct"	"7.3295"	"micron"	"direct"	"9.0305"	"micron"	"direct"	"6.15575"	"micron"	"direct"	"25.52075"	"micron"	"direct"	"3.66475"	"micron"	"direct"	"0.68166214"	"dimensionless"	"direct"	"0.81396698"	"dimensionless"	"direct"	"0.73166708"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.30"	"Geometrical Property Characterization"	"individual"	"nucleus"	"30"	"0.9611 -0.276"	"dimensionless"	"Unit Vector"	"direct"	"11.24 57.62 0.0"	"micron"	"direct"	"30.25"	"micron^2"	"direct"	"6.2065"	"micron"	"direct"	"6.81775"	"micron"	"direct"	"5.75475"	"micron"	"direct"	"21.3995"	"micron"	"direct"	"3.10325"	"micron"	"direct"	"0.84408346"	"dimensionless"	"direct"	"0.83009537"	"dimensionless"	"direct"	"0.53621182"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.31"	"Geometrical Property Characterization"	"individual"	"nucleus"	"31"	"0.578 -0.816"	"dimensionless"	"Unit Vector"	"direct"	"11.77 159.9 0.0"	"micron"	"direct"	"23.9375"	"micron^2"	"direct"	"5.521"	"micron"	"direct"	"6.74625"	"micron"	"direct"	"4.6445"	"micron"	"direct"	"18.753"	"micron"	"direct"	"2.7605"	"micron"	"direct"	"0.68845655"	"dimensionless"	"direct"	"0.85535648"	"dimensionless"	"direct"	"0.72527759"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.32"	"Geometrical Property Characterization"	"individual"	"nucleus"	"32"	"0.9954 0.096"	"dimensionless"	"Unit Vector"	"direct"	"11.05 360.85 0.0"	"micron"	"direct"	"17.625"	"micron^2"	"direct"	"4.7375"	"micron"	"direct"	"5.59625"	"micron"	"direct"	"4.3735"	"micron"	"direct"	"18.46025"	"micron"	"direct"	"2.36875"	"micron"	"direct"	"0.78150547"	"dimensionless"	"direct"	"0.64992588"	"dimensionless"	"direct"	"0.62389839"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.33"	"Geometrical Property Characterization"	"individual"	"nucleus"	"33"	"0.8152 -0.5792"	"dimensionless"	"Unit Vector"	"direct"	"12.36 46.49 0.0"	"micron"	"direct"	"30.4375"	"micron^2"	"direct"	"6.226"	"micron"	"direct"	"7.4445"	"micron"	"direct"	"5.3325"	"micron"	"direct"	"21.1065"	"micron"	"direct"	"3.113"	"micron"	"direct"	"0.71630062"	"dimensionless"	"direct"	"0.85859113"	"dimensionless"	"direct"	"0.69779181"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.34"	"Geometrical Property Characterization"	"individual"	"nucleus"	"34"	"0.9853 -0.171"	"dimensionless"	"Unit Vector"	"direct"	"11.38 172.41 0.0"	"micron"	"direct"	"17.0625"	"micron^2"	"direct"	"4.6615"	"micron"	"direct"	"6.516"	"micron"	"direct"	"3.516"	"micron"	"direct"	"16.9245"	"micron"	"direct"	"2.33075"	"micron"	"direct"	"0.53959484"	"dimensionless"	"direct"	"0.74855003"	"dimensionless"	"direct"	"0.84192482"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.35"	"Geometrical Property Characterization"	"individual"	"nucleus"	"35"	"0.7331 -0.6801"	"dimensionless"	"Unit Vector"	"direct"	"14.66 65.32 0.0"	"micron"	"direct"	"53.4375"	"micron^2"	"direct"	"8.2495"	"micron"	"direct"	"9.30525"	"micron"	"direct"	"7.3705"	"micron"	"direct"	"27.84925"	"micron"	"direct"	"4.12475"	"micron"	"direct"	"0.79207974"	"dimensionless"	"direct"	"0.86582274"	"dimensionless"	"direct"	"0.61041763"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
"MCDS_S_0000000249.0.36"	"Geometrical Property Characterization"	"individual"	"nucleus"	"36"	"0.5698 -0.8218"	"dimensionless"	"Unit Vector"	"direct"	"14.57 141.54 0.0"	"micron"	"direct"	"18.0625"	"micron^2"	"direct"	"4.796"	"micron"	"direct"	"7.84375"	"micron"	"direct"	"3.885"	"micron"	"direct"	"22.253"	"micron"	"direct"	"2.398"	"micron"	"direct"	"0.4952988"	"dimensionless"	"direct"	"0.45836409"	"dimensionless"	"direct"	"0.86872268"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000249.xml"
