"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000102.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.994 0.109"	"dimensionless"	"Unit Vector"	"direct"	"1.52 307.54 0.0"	"micron"	"direct"	"18.8125"	"micron^2"	"direct"	"4.8945"	"micron"	"direct"	"7.5765"	"micron"	"direct"	"3.32325"	"micron"	"direct"	"18.2175"	"micron"	"direct"	"2.44725"	"micron"	"direct"	"0.43862601"	"dimensionless"	"direct"	"0.71232604"	"dimensionless"	"direct"	"0.89866969"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9899 0.142"	"dimensionless"	"Unit Vector"	"direct"	"2.23 323.06 0.0"	"micron"	"direct"	"32.8125"	"micron^2"	"direct"	"6.464"	"micron"	"direct"	"8.89275"	"micron"	"direct"	"4.88525"	"micron"	"direct"	"22.98525"	"micron"	"direct"	"3.232"	"micron"	"direct"	"0.549352"	"dimensionless"	"direct"	"0.78046013"	"dimensionless"	"direct"	"0.83559104"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9549 0.297"	"dimensionless"	"Unit Vector"	"direct"	"2.5 331.38 0.0"	"micron"	"direct"	"27.375"	"micron^2"	"direct"	"5.9045"	"micron"	"direct"	"7.2255"	"micron"	"direct"	"4.96325"	"micron"	"direct"	"19.96025"	"micron"	"direct"	"2.95225"	"micron"	"direct"	"0.68690748"	"dimensionless"	"direct"	"0.86343975"	"dimensionless"	"direct"	"0.72674487"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.8081 0.5891"	"dimensionless"	"Unit Vector"	"direct"	"6.13 338.32 0.0"	"micron"	"direct"	"104.8125"	"micron^2"	"direct"	"11.553"	"micron"	"direct"	"14.41075"	"micron"	"direct"	"9.66675"	"micron"	"direct"	"47.82575"	"micron"	"direct"	"5.7765"	"micron"	"direct"	"0.67080131"	"dimensionless"	"direct"	"0.57583673"	"dimensionless"	"direct"	"0.74163711"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9997 -0.026"	"dimensionless"	"Unit Vector"	"direct"	"1.34 356.91 0.0"	"micron"	"direct"	"23.5"	"micron^2"	"direct"	"5.4705"	"micron"	"direct"	"10.67825"	"micron"	"direct"	"2.98175"	"micron"	"direct"	"24.65675"	"micron"	"direct"	"2.73525"	"micron"	"direct"	"0.27923583"	"dimensionless"	"direct"	"0.48574245"	"dimensionless"	"direct"	"0.96022255"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.2599 0.9656"	"dimensionless"	"Unit Vector"	"direct"	"2.98 368.7 0.0"	"micron"	"direct"	"23.0625"	"micron^2"	"direct"	"5.4195"	"micron"	"direct"	"6.16325"	"micron"	"direct"	"5.17925"	"micron"	"direct"	"21.02075"	"micron"	"direct"	"2.70975"	"micron"	"direct"	"0.84034397"	"dimensionless"	"direct"	"0.65587312"	"dimensionless"	"direct"	"0.54205351"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.6281 0.7781"	"dimensionless"	"Unit Vector"	"direct"	"2.68 27.68 0.0"	"micron"	"direct"	"14.625"	"micron^2"	"direct"	"4.3155"	"micron"	"direct"	"4.72625"	"micron"	"direct"	"4.185"	"micron"	"direct"	"15.77825"	"micron"	"direct"	"2.15775"	"micron"	"direct"	"0.88548003"	"dimensionless"	"direct"	"0.73822385"	"dimensionless"	"direct"	"0.46467743"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.7001 -0.7141"	"dimensionless"	"Unit Vector"	"direct"	"3.92 132.84 0.0"	"micron"	"direct"	"22.75"	"micron^2"	"direct"	"5.3825"	"micron"	"direct"	"10.74675"	"micron"	"direct"	"2.8675"	"micron"	"direct"	"25.45275"	"micron"	"direct"	"2.69125"	"micron"	"direct"	"0.26682485"	"dimensionless"	"direct"	"0.44128772"	"dimensionless"	"direct"	"0.96374504"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.7071 0.7071"	"dimensionless"	"Unit Vector"	"direct"	"4.24 300.11 0.0"	"micron"	"direct"	"24.25"	"micron^2"	"direct"	"5.557"	"micron"	"direct"	"6.86625"	"micron"	"direct"	"4.5295"	"micron"	"direct"	"18.6925"	"micron"	"direct"	"2.7785"	"micron"	"direct"	"0.65967595"	"dimensionless"	"direct"	"0.87214125"	"dimensionless"	"direct"	"0.75155016"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.5039 0.8638"	"dimensionless"	"Unit Vector"	"direct"	"4.61 39.32 0.0"	"micron"	"direct"	"13.75"	"micron^2"	"direct"	"4.1845"	"micron"	"direct"	"6.231"	"micron"	"direct"	"3.50875"	"micron"	"direct"	"17.253"	"micron"	"direct"	"2.09225"	"micron"	"direct"	"0.56311186"	"dimensionless"	"direct"	"0.58047473"	"dimensionless"	"direct"	"0.82638068"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.6899 0.7239"	"dimensionless"	"Unit Vector"	"direct"	"5.23 293.96 0.0"	"micron"	"direct"	"30.6875"	"micron^2"	"direct"	"6.2515"	"micron"	"direct"	"8.221"	"micron"	"direct"	"4.762"	"micron"	"direct"	"21.31375"	"micron"	"direct"	"3.12575"	"micron"	"direct"	"0.57924827"	"dimensionless"	"direct"	"0.84889043"	"dimensionless"	"direct"	"0.81515118"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
"MCDS_S_0000000102.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.7581 -0.6521"	"dimensionless"	"Unit Vector"	"direct"	"5.88 230.43 0.0"	"micron"	"direct"	"17.0625"	"micron^2"	"direct"	"4.6615"	"micron"	"direct"	"5.954"	"micron"	"direct"	"4.031"	"micron"	"direct"	"17.8995"	"micron"	"direct"	"2.33075"	"micron"	"direct"	"0.67702385"	"dimensionless"	"direct"	"0.6692228"	"dimensionless"	"direct"	"0.73596108"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000102.xml"
