"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000279.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9501 -0.312"	"dimensionless"	"Unit Vector"	"direct"	"2.69 42.67 0.0"	"micron"	"direct"	"45.625"	"micron^2"	"direct"	"7.6225"	"micron"	"direct"	"10.27975"	"micron"	"direct"	"5.78325"	"micron"	"direct"	"27.253"	"micron"	"direct"	"3.81125"	"micron"	"direct"	"0.56258664"	"dimensionless"	"direct"	"0.771941"	"dimensionless"	"direct"	"0.82673833"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9816 -0.1909"	"dimensionless"	"Unit Vector"	"direct"	"1.06 54.71 0.0"	"micron"	"direct"	"14.0"	"micron^2"	"direct"	"4.2225"	"micron"	"direct"	"7.27025"	"micron"	"direct"	"2.8385"	"micron"	"direct"	"17.27825"	"micron"	"direct"	"2.11125"	"micron"	"direct"	"0.39042674"	"dimensionless"	"direct"	"0.58930265"	"dimensionless"	"direct"	"0.920634"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.178 -0.984"	"dimensionless"	"Unit Vector"	"direct"	"2.19 62.17 0.0"	"micron"	"direct"	"23.0"	"micron^2"	"direct"	"5.412"	"micron"	"direct"	"6.07225"	"micron"	"direct"	"5.3785"	"micron"	"direct"	"20.046"	"micron"	"direct"	"2.706"	"micron"	"direct"	"0.88575075"	"dimensionless"	"direct"	"0.71925394"	"dimensionless"	"direct"	"0.46416119"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.517 -0.856"	"dimensionless"	"Unit Vector"	"direct"	"2.8 91.88 0.0"	"micron"	"direct"	"30.75"	"micron^2"	"direct"	"6.258"	"micron"	"direct"	"7.10225"	"micron"	"direct"	"5.72775"	"micron"	"direct"	"21.83875"	"micron"	"direct"	"3.129"	"micron"	"direct"	"0.80646978"	"dimensionless"	"direct"	"0.81021342"	"dimensionless"	"direct"	"0.59127531"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9953 -0.097"	"dimensionless"	"Unit Vector"	"direct"	"1.75 98.76 0.0"	"micron"	"direct"	"19.125"	"micron^2"	"direct"	"4.935"	"micron"	"direct"	"5.75125"	"micron"	"direct"	"4.33125"	"micron"	"direct"	"16.24275"	"micron"	"direct"	"2.4675"	"micron"	"direct"	"0.75309715"	"dimensionless"	"direct"	"0.91094507"	"dimensionless"	"direct"	"0.65790932"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.3621 -0.9322"	"dimensionless"	"Unit Vector"	"direct"	"2.63 106.95 0.0"	"micron"	"direct"	"25.25"	"micron^2"	"direct"	"5.6705"	"micron"	"direct"	"6.6305"	"micron"	"direct"	"4.97075"	"micron"	"direct"	"19.0105"	"micron"	"direct"	"2.83525"	"micron"	"direct"	"0.74967951"	"dimensionless"	"direct"	"0.87797908"	"dimensionless"	"direct"	"0.66180105"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.226 -0.9741"	"dimensionless"	"Unit Vector"	"direct"	"2.49 111.56 0.0"	"micron"	"direct"	"20.1875"	"micron^2"	"direct"	"5.0705"	"micron"	"direct"	"5.85525"	"micron"	"direct"	"4.55025"	"micron"	"direct"	"17.648"	"micron"	"direct"	"2.53525"	"micron"	"direct"	"0.77712309"	"dimensionless"	"direct"	"0.81451936"	"dimensionless"	"direct"	"0.62934863"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9238 -0.3829"	"dimensionless"	"Unit Vector"	"direct"	"1.37 117.21 0.0"	"micron"	"direct"	"14.125"	"micron^2"	"direct"	"4.241"	"micron"	"direct"	"5.72825"	"micron"	"direct"	"3.45975"	"micron"	"direct"	"15.44975"	"micron"	"direct"	"2.1205"	"micron"	"direct"	"0.60398027"	"dimensionless"	"direct"	"0.74362744"	"dimensionless"	"direct"	"0.79699927"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9937 0.112"	"dimensionless"	"Unit Vector"	"direct"	"1.14 125.05 0.0"	"micron"	"direct"	"19.0"	"micron^2"	"direct"	"4.919"	"micron"	"direct"	"9.3845"	"micron"	"direct"	"3.07675"	"micron"	"direct"	"22.9765"	"micron"	"direct"	"2.4595"	"micron"	"direct"	"0.32785444"	"dimensionless"	"direct"	"0.45226785"	"dimensionless"	"direct"	"0.94472825"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
"MCDS_S_0000000279.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.7307 -0.6827"	"dimensionless"	"Unit Vector"	"direct"	"3.1 145.33 0.0"	"micron"	"direct"	"41.8125"	"micron^2"	"direct"	"7.297"	"micron"	"direct"	"9.739"	"micron"	"direct"	"5.84725"	"micron"	"direct"	"27.31375"	"micron"	"direct"	"3.6485"	"micron"	"direct"	"0.60039532"	"dimensionless"	"direct"	"0.70429295"	"dimensionless"	"direct"	"0.79970336"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000279.xml"
