"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000099.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9973 0.073"	"dimensionless"	"Unit Vector"	"direct"	"2.23 74.1 0.0"	"micron"	"direct"	"21.0"	"micron^2"	"direct"	"5.1715"	"micron"	"direct"	"6.31525"	"micron"	"direct"	"4.41075"	"micron"	"direct"	"17.9245"	"micron"	"direct"	"2.58575"	"micron"	"direct"	"0.69842841"	"dimensionless"	"direct"	"0.82136286"	"dimensionless"	"direct"	"0.71567993"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9672 0.2541"	"dimensionless"	"Unit Vector"	"direct"	"3.76 145.58 0.0"	"micron"	"direct"	"56.1875"	"micron^2"	"direct"	"8.459"	"micron"	"direct"	"11.247"	"micron"	"direct"	"7.13825"	"micron"	"direct"	"35.7635"	"micron"	"direct"	"4.2295"	"micron"	"direct"	"0.63468036"	"dimensionless"	"direct"	"0.55203872"	"dimensionless"	"direct"	"0.77277477"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9777 0.2099"	"dimensionless"	"Unit Vector"	"direct"	"4.1 155.27 0.0"	"micron"	"direct"	"61.875"	"micron^2"	"direct"	"8.8765"	"micron"	"direct"	"10.714"	"micron"	"direct"	"7.90175"	"micron"	"direct"	"33.02075"	"micron"	"direct"	"4.43825"	"micron"	"direct"	"0.73751633"	"dimensionless"	"direct"	"0.71310127"	"dimensionless"	"direct"	"0.6753293"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9931 -0.117"	"dimensionless"	"Unit Vector"	"direct"	"3.29 163.83 0.0"	"micron"	"direct"	"36.75"	"micron^2"	"direct"	"6.841"	"micron"	"direct"	"7.78275"	"micron"	"direct"	"6.22875"	"micron"	"direct"	"23.91575"	"micron"	"direct"	"3.4205"	"micron"	"direct"	"0.80032765"	"dimensionless"	"direct"	"0.80741943"	"dimensionless"	"direct"	"0.59956289"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.5031 -0.8642"	"dimensionless"	"Unit Vector"	"direct"	"4.08 176.8 0.0"	"micron"	"direct"	"38.9375"	"micron^2"	"direct"	"7.0415"	"micron"	"direct"	"8.9435"	"micron"	"direct"	"5.613"	"micron"	"direct"	"24.46025"	"micron"	"direct"	"3.52075"	"micron"	"direct"	"0.62760664"	"dimensionless"	"direct"	"0.81781702"	"dimensionless"	"direct"	"0.77853061"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.5913 -0.8064"	"dimensionless"	"Unit Vector"	"direct"	"4.19 184.38 0.0"	"micron"	"direct"	"38.6875"	"micron^2"	"direct"	"7.019"	"micron"	"direct"	"9.4"	"micron"	"direct"	"5.4205"	"micron"	"direct"	"25.49575"	"micron"	"direct"	"3.5095"	"micron"	"direct"	"0.57664894"	"dimensionless"	"direct"	"0.74790243"	"dimensionless"	"direct"	"0.81699205"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.8578 -0.5139"	"dimensionless"	"Unit Vector"	"direct"	"3.24 286.2 0.0"	"micron"	"direct"	"36.1875"	"micron^2"	"direct"	"6.7885"	"micron"	"direct"	"10.079"	"micron"	"direct"	"5.46975"	"micron"	"direct"	"27.8995"	"micron"	"direct"	"3.39425"	"micron"	"direct"	"0.54268777"	"dimensionless"	"direct"	"0.5842189"	"dimensionless"	"direct"	"0.83993451"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.853 -0.522"	"dimensionless"	"Unit Vector"	"direct"	"2.25 308.42 0.0"	"micron"	"direct"	"13.875"	"micron^2"	"direct"	"4.2035"	"micron"	"direct"	"5.4285"	"micron"	"direct"	"3.41575"	"micron"	"direct"	"14.571"	"micron"	"direct"	"2.10175"	"micron"	"direct"	"0.62922538"	"dimensionless"	"direct"	"0.82122874"	"dimensionless"	"direct"	"0.77722289"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9447 -0.3279"	"dimensionless"	"Unit Vector"	"direct"	"2.57 365.33 0.0"	"micron"	"direct"	"30.3125"	"micron^2"	"direct"	"6.213"	"micron"	"direct"	"8.77675"	"micron"	"direct"	"4.7375"	"micron"	"direct"	"22.8995"	"micron"	"direct"	"3.1065"	"micron"	"direct"	"0.53977839"	"dimensionless"	"direct"	"0.72640633"	"dimensionless"	"direct"	"0.84180716"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
"MCDS_S_0000000099.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.062 -0.9981"	"dimensionless"	"Unit Vector"	"direct"	"3.99 412.14 0.0"	"micron"	"direct"	"37.0"	"micron^2"	"direct"	"6.8645"	"micron"	"direct"	"7.482"	"micron"	"direct"	"6.3385"	"micron"	"direct"	"22.6925"	"micron"	"direct"	"3.43225"	"micron"	"direct"	"0.84716653"	"dimensionless"	"direct"	"0.90291507"	"dimensionless"	"direct"	"0.53132746"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000099.xml"
