"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000182.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9827 -0.185"	"dimensionless"	"Unit Vector"	"direct"	"3.81 33.76 0.0"	"micron"	"direct"	"74.875"	"micron^2"	"direct"	"9.765"	"micron"	"direct"	"11.85475"	"micron"	"direct"	"8.28925"	"micron"	"direct"	"35.17775"	"micron"	"direct"	"4.8825"	"micron"	"direct"	"0.69923448"	"dimensionless"	"direct"	"0.76034481"	"dimensionless"	"direct"	"0.71489239"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9357 -0.3529"	"dimensionless"	"Unit Vector"	"direct"	"2.21 54.36 0.0"	"micron"	"direct"	"31.375"	"micron^2"	"direct"	"6.321"	"micron"	"direct"	"9.683"	"micron"	"direct"	"4.7585"	"micron"	"direct"	"25.9425"	"micron"	"direct"	"3.1605"	"micron"	"direct"	"0.49142828"	"dimensionless"	"direct"	"0.58582776"	"dimensionless"	"direct"	"0.87091805"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9539 0.3"	"dimensionless"	"Unit Vector"	"direct"	"2.33 66.54 0.0"	"micron"	"direct"	"28.3125"	"micron^2"	"direct"	"6.0045"	"micron"	"direct"	"8.86025"	"micron"	"direct"	"5.09825"	"micron"	"direct"	"26.6835"	"micron"	"direct"	"3.00225"	"micron"	"direct"	"0.57540701"	"dimensionless"	"direct"	"0.49969211"	"dimensionless"	"direct"	"0.81786721"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.46 -0.8879"	"dimensionless"	"Unit Vector"	"direct"	"2.31 77.06 0.0"	"micron"	"direct"	"14.0625"	"micron^2"	"direct"	"4.232"	"micron"	"direct"	"5.683"	"micron"	"direct"	"4.1775"	"micron"	"direct"	"20.9765"	"micron"	"direct"	"2.116"	"micron"	"direct"	"0.7350871"	"dimensionless"	"direct"	"0.40161169"	"dimensionless"	"direct"	"0.67797268"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.565 0.8251"	"dimensionless"	"Unit Vector"	"direct"	"2.77 101.43 0.0"	"micron"	"direct"	"27.25"	"micron^2"	"direct"	"5.891"	"micron"	"direct"	"8.17"	"micron"	"direct"	"6.035"	"micron"	"direct"	"27.49425"	"micron"	"direct"	"2.9455"	"micron"	"direct"	"0.73867809"	"dimensionless"	"direct"	"0.45299417"	"dimensionless"	"direct"	"0.67405836"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9645 -0.2641"	"dimensionless"	"Unit Vector"	"direct"	"3.39 214.48 0.0"	"micron"	"direct"	"63.4375"	"micron^2"	"direct"	"8.988"	"micron"	"direct"	"12.44275"	"micron"	"direct"	"6.81425"	"micron"	"direct"	"33.84025"	"micron"	"direct"	"4.494"	"micron"	"direct"	"0.54764823"	"dimensionless"	"direct"	"0.69612751"	"dimensionless"	"direct"	"0.83670868"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9963 -0.086"	"dimensionless"	"Unit Vector"	"direct"	"1.54 247.51 0.0"	"micron"	"direct"	"13.625"	"micron^2"	"direct"	"4.1655"	"micron"	"direct"	"5.86"	"micron"	"direct"	"3.184"	"micron"	"direct"	"15.364"	"micron"	"direct"	"2.08275"	"micron"	"direct"	"0.54334471"	"dimensionless"	"direct"	"0.72533357"	"dimensionless"	"direct"	"0.83950969"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.7001 -0.7141"	"dimensionless"	"Unit Vector"	"direct"	"2.38 81.14 0.0"	"micron"	"direct"	"12.625"	"micron^2"	"direct"	"4.0095"	"micron"	"direct"	"5.367"	"micron"	"direct"	"3.438"	"micron"	"direct"	"16.071"	"micron"	"direct"	"2.00475"	"micron"	"direct"	"0.64058133"	"dimensionless"	"direct"	"0.61426454"	"dimensionless"	"direct"	"0.76789033"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.4279 -0.9038"	"dimensionless"	"Unit Vector"	"direct"	"2.25 146.17 0.0"	"micron"	"direct"	"14.125"	"micron^2"	"direct"	"4.241"	"micron"	"direct"	"4.64475"	"micron"	"direct"	"4.23525"	"micron"	"direct"	"15.70875"	"micron"	"direct"	"2.1205"	"micron"	"direct"	"0.91183594"	"dimensionless"	"direct"	"0.71930829"	"dimensionless"	"direct"	"0.41055476"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.4039 0.9148"	"dimensionless"	"Unit Vector"	"direct"	"3.75 149.6 0.0"	"micron"	"direct"	"16.0625"	"micron^2"	"direct"	"4.523"	"micron"	"direct"	"7.6345"	"micron"	"direct"	"3.09525"	"micron"	"direct"	"19.037"	"micron"	"direct"	"2.2615"	"micron"	"direct"	"0.4054293"	"dimensionless"	"direct"	"0.55696254"	"dimensionless"	"direct"	"0.9141264"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.3829 0.9238"	"dimensionless"	"Unit Vector"	"direct"	"3.29 229.1 0.0"	"micron"	"direct"	"20.5"	"micron^2"	"direct"	"5.1095"	"micron"	"direct"	"7.83275"	"micron"	"direct"	"3.78625"	"micron"	"direct"	"22.1495"	"micron"	"direct"	"2.55475"	"micron"	"direct"	"0.48338706"	"dimensionless"	"direct"	"0.52509257"	"dimensionless"	"direct"	"0.87540673"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.9974 0.072"	"dimensionless"	"Unit Vector"	"direct"	"3.58 302.12 0.0"	"micron"	"direct"	"51.6875"	"micron^2"	"direct"	"8.113"	"micron"	"direct"	"9.949"	"micron"	"direct"	"6.75675"	"micron"	"direct"	"30.46025"	"micron"	"direct"	"4.0565"	"micron"	"direct"	"0.67913861"	"dimensionless"	"direct"	"0.70004904"	"dimensionless"	"direct"	"0.73401005"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
"MCDS_S_0000000182.0.12"	"Geometrical Property Characterization"	"individual"	"nucleus"	"12"	"0.9816 0.1909"	"dimensionless"	"Unit Vector"	"direct"	"5.98 173.8 0.0"	"micron"	"direct"	"43.625"	"micron^2"	"direct"	"7.4535"	"micron"	"direct"	"12.23"	"micron"	"direct"	"5.13475"	"micron"	"direct"	"35.42775"	"micron"	"direct"	"3.72675"	"micron"	"direct"	"0.41984873"	"dimensionless"	"direct"	"0.43677539"	"dimensionless"	"direct"	"0.9075941"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000182.xml"
