"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000214.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9914 -0.131"	"dimensionless"	"Unit Vector"	"direct"	"2.71 108.89 0.0"	"micron"	"direct"	"32.875"	"micron^2"	"direct"	"6.4705"	"micron"	"direct"	"7.6765"	"micron"	"direct"	"5.5335"	"micron"	"direct"	"21.98525"	"micron"	"direct"	"3.23525"	"micron"	"direct"	"0.72083632"	"dimensionless"	"direct"	"0.85469824"	"dimensionless"	"direct"	"0.69310533"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.073 -0.9973"	"dimensionless"	"Unit Vector"	"direct"	"3.65 190.01 0.0"	"micron"	"direct"	"26.0"	"micron^2"	"direct"	"5.754"	"micron"	"direct"	"10.055"	"micron"	"direct"	"4.5335"	"micron"	"direct"	"26.046"	"micron"	"direct"	"2.877"	"micron"	"direct"	"0.45087021"	"dimensionless"	"direct"	"0.48161626"	"dimensionless"	"direct"	"0.89258952"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.913 0.408"	"dimensionless"	"Unit Vector"	"direct"	"2.22 201.29 0.0"	"micron"	"direct"	"19.5"	"micron^2"	"direct"	"4.9835"	"micron"	"direct"	"5.83775"	"micron"	"direct"	"4.402"	"micron"	"direct"	"17.15675"	"micron"	"direct"	"2.49175"	"micron"	"direct"	"0.75405764"	"dimensionless"	"direct"	"0.83248119"	"dimensionless"	"direct"	"0.65680825"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9969 -0.079"	"dimensionless"	"Unit Vector"	"direct"	"2.95 237.78 0.0"	"micron"	"direct"	"55.1875"	"micron^2"	"direct"	"8.3835"	"micron"	"direct"	"12.14375"	"micron"	"direct"	"5.939"	"micron"	"direct"	"31.87425"	"micron"	"direct"	"4.19175"	"micron"	"direct"	"0.48905816"	"dimensionless"	"direct"	"0.68260684"	"dimensionless"	"direct"	"0.87225118"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9986 0.053"	"dimensionless"	"Unit Vector"	"direct"	"1.78 260.5 0.0"	"micron"	"direct"	"36.3125"	"micron^2"	"direct"	"6.8"	"micron"	"direct"	"14.77975"	"micron"	"direct"	"3.38475"	"micron"	"direct"	"33.046"	"micron"	"direct"	"3.4"	"micron"	"direct"	"0.22901267"	"dimensionless"	"direct"	"0.41785751"	"dimensionless"	"direct"	"0.97342344"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.65 0.76"	"dimensionless"	"Unit Vector"	"direct"	"4.28 53.4 0.0"	"micron"	"direct"	"59.8125"	"micron^2"	"direct"	"8.7275"	"micron"	"direct"	"9.47975"	"micron"	"direct"	"8.2105"	"micron"	"direct"	"30.46025"	"micron"	"direct"	"4.36375"	"micron"	"direct"	"0.86610934"	"dimensionless"	"direct"	"0.81009302"	"dimensionless"	"direct"	"0.49985459"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9939 -0.11"	"dimensionless"	"Unit Vector"	"direct"	"1.77 65.55 0.0"	"micron"	"direct"	"17.4375"	"micron^2"	"direct"	"4.7125"	"micron"	"direct"	"7.299"	"micron"	"direct"	"3.4075"	"micron"	"direct"	"18.4765"	"micron"	"direct"	"2.35625"	"micron"	"direct"	"0.46684477"	"dimensionless"	"direct"	"0.64188122"	"dimensionless"	"direct"	"0.88433928"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.677 -0.736"	"dimensionless"	"Unit Vector"	"direct"	"3.29 183.83 0.0"	"micron"	"direct"	"32.25"	"micron^2"	"direct"	"6.4085"	"micron"	"direct"	"7.823"	"micron"	"direct"	"5.5495"	"micron"	"direct"	"22.753"	"micron"	"direct"	"3.20425"	"micron"	"direct"	"0.70938259"	"dimensionless"	"direct"	"0.78282061"	"dimensionless"	"direct"	"0.70482362"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9408 0.3389"	"dimensionless"	"Unit Vector"	"direct"	"3.0 213.73 0.0"	"micron"	"direct"	"29.3125"	"micron^2"	"direct"	"6.1095"	"micron"	"direct"	"7.435"	"micron"	"direct"	"5.16"	"micron"	"direct"	"23.46025"	"micron"	"direct"	"3.05475"	"micron"	"direct"	"0.69401479"	"dimensionless"	"direct"	"0.66926398"	"dimensionless"	"direct"	"0.71996074"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
"MCDS_S_0000000214.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.2782 -0.9605"	"dimensionless"	"Unit Vector"	"direct"	"4.3 159.9 0.0"	"micron"	"direct"	"53.125"	"micron^2"	"direct"	"8.225"	"micron"	"direct"	"8.741"	"micron"	"direct"	"8.273"	"micron"	"direct"	"34.7885"	"micron"	"direct"	"4.1125"	"micron"	"direct"	"0.94645922"	"dimensionless"	"direct"	"0.55161669"	"dimensionless"	"direct"	"0.32282341"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000214.xml"
