"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000040.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.996 0.089"	"dimensionless"	"Unit Vector"	"direct"	"1.56 45.93 0.0"	"micron"	"direct"	"23.75"	"micron^2"	"direct"	"5.4995"	"micron"	"direct"	"11.66375"	"micron"	"direct"	"2.846"	"micron"	"direct"	"27.7515"	"micron"	"direct"	"2.74975"	"micron"	"direct"	"0.24400386"	"dimensionless"	"direct"	"0.38752574"	"dimensionless"	"direct"	"0.96977426"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9983 -0.058"	"dimensionless"	"Unit Vector"	"direct"	"1.21 186.39 0.0"	"micron"	"direct"	"13.0"	"micron^2"	"direct"	"4.069"	"micron"	"direct"	"8.814"	"micron"	"direct"	"2.01275"	"micron"	"direct"	"18.889"	"micron"	"direct"	"2.0345"	"micron"	"direct"	"0.22835829"	"dimensionless"	"direct"	"0.45786272"	"dimensionless"	"direct"	"0.97357716"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9992 -0.04"	"dimensionless"	"Unit Vector"	"direct"	"1.77 195.25 0.0"	"micron"	"direct"	"23.875"	"micron^2"	"direct"	"5.514"	"micron"	"direct"	"9.355"	"micron"	"direct"	"3.4485"	"micron"	"direct"	"22.99275"	"micron"	"direct"	"2.757"	"micron"	"direct"	"0.3686264"	"dimensionless"	"direct"	"0.56750724"	"dimensionless"	"direct"	"0.92957763"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.087 -0.9962"	"dimensionless"	"Unit Vector"	"direct"	"3.08 218.38 0.0"	"micron"	"direct"	"20.3125"	"micron^2"	"direct"	"5.086"	"micron"	"direct"	"6.45225"	"micron"	"direct"	"4.1825"	"micron"	"direct"	"18.94975"	"micron"	"direct"	"2.543"	"micron"	"direct"	"0.64822349"	"dimensionless"	"direct"	"0.71083086"	"dimensionless"	"direct"	"0.76145014"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9048 0.4259"	"dimensionless"	"Unit Vector"	"direct"	"2.14 250.72 0.0"	"micron"	"direct"	"18.125"	"micron^2"	"direct"	"4.8045"	"micron"	"direct"	"6.8335"	"micron"	"direct"	"3.554"	"micron"	"direct"	"18.01925"	"micron"	"direct"	"2.40225"	"micron"	"direct"	"0.52008488"	"dimensionless"	"direct"	"0.70147865"	"dimensionless"	"direct"	"0.85411458"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9221 -0.387"	"dimensionless"	"Unit Vector"	"direct"	"2.12 278.26 0.0"	"micron"	"direct"	"20.0625"	"micron^2"	"direct"	"5.0545"	"micron"	"direct"	"7.7845"	"micron"	"direct"	"3.59325"	"micron"	"direct"	"20.864"	"micron"	"direct"	"2.52725"	"micron"	"direct"	"0.46159034"	"dimensionless"	"direct"	"0.57916161"	"dimensionless"	"direct"	"0.88709321"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9411 0.338"	"dimensionless"	"Unit Vector"	"direct"	"2.55 336.51 0.0"	"micron"	"direct"	"29.125"	"micron^2"	"direct"	"6.09"	"micron"	"direct"	"7.875"	"micron"	"direct"	"4.9805"	"micron"	"direct"	"21.9335"	"micron"	"direct"	"3.045"	"micron"	"direct"	"0.63244444"	"dimensionless"	"direct"	"0.76078146"	"dimensionless"	"direct"	"0.77460572"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9999 0.014"	"dimensionless"	"Unit Vector"	"direct"	"1.6 348.76 0.0"	"micron"	"direct"	"18.3125"	"micron^2"	"direct"	"4.829"	"micron"	"direct"	"8.10275"	"micron"	"direct"	"3.1185"	"micron"	"direct"	"19.80325"	"micron"	"direct"	"2.4145"	"micron"	"direct"	"0.38486933"	"dimensionless"	"direct"	"0.58679251"	"dimensionless"	"direct"	"0.92297107"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.419 0.908"	"dimensionless"	"Unit Vector"	"direct"	"3.37 398.21 0.0"	"micron"	"direct"	"32.9375"	"micron^2"	"direct"	"6.4765"	"micron"	"direct"	"6.759"	"micron"	"direct"	"6.51575"	"micron"	"direct"	"23.83"	"micron"	"direct"	"3.23825"	"micron"	"direct"	"0.96401095"	"dimensionless"	"direct"	"0.72887392"	"dimensionless"	"direct"	"0.26586254"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
"MCDS_S_0000000040.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"1.0 -0.001"	"dimensionless"	"Unit Vector"	"direct"	"1.33 426.09 0.0"	"micron"	"direct"	"15.4375"	"micron^2"	"direct"	"4.434"	"micron"	"direct"	"8.85725"	"micron"	"direct"	"2.3255"	"micron"	"direct"	"19.389"	"micron"	"direct"	"2.217"	"micron"	"direct"	"0.26255328"	"dimensionless"	"direct"	"0.51603126"	"dimensionless"	"direct"	"0.9649175"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000040.xml"
