"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000254.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.7336 0.6796"	"dimensionless"	"Unit Vector"	"direct"	"4.76 50.55 0.0"	"micron"	"direct"	"61.3125"	"micron^2"	"direct"	"8.8365"	"micron"	"direct"	"12.07675"	"micron"	"direct"	"7.07975"	"micron"	"direct"	"36.935"	"micron"	"direct"	"4.41825"	"micron"	"direct"	"0.58622974"	"dimensionless"	"direct"	"0.56478439"	"dimensionless"	"direct"	"0.81014486"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9983 -0.059"	"dimensionless"	"Unit Vector"	"direct"	"1.75 60.75 0.0"	"micron"	"direct"	"16.875"	"micron^2"	"direct"	"4.6355"	"micron"	"direct"	"7.75575"	"micron"	"direct"	"2.88425"	"micron"	"direct"	"18.2175"	"micron"	"direct"	"2.31775"	"micron"	"direct"	"0.37188538"	"dimensionless"	"direct"	"0.63896356"	"dimensionless"	"direct"	"0.92827866"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.981 -0.194"	"dimensionless"	"Unit Vector"	"direct"	"2.75 81.66 0.0"	"micron"	"direct"	"43.625"	"micron^2"	"direct"	"7.4535"	"micron"	"direct"	"11.72575"	"micron"	"direct"	"4.97825"	"micron"	"direct"	"29.321"	"micron"	"direct"	"3.72675"	"micron"	"direct"	"0.42455706"	"dimensionless"	"direct"	"0.63765791"	"dimensionless"	"direct"	"0.90540118"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.8363 0.5482"	"dimensionless"	"Unit Vector"	"direct"	"2.94 89.56 0.0"	"micron"	"direct"	"29.4375"	"micron^2"	"direct"	"6.1225"	"micron"	"direct"	"8.17975"	"micron"	"direct"	"5.31625"	"micron"	"direct"	"24.071"	"micron"	"direct"	"3.06125"	"micron"	"direct"	"0.64992818"	"dimensionless"	"direct"	"0.63844358"	"dimensionless"	"direct"	"0.75999564"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9148 0.4039"	"dimensionless"	"Unit Vector"	"direct"	"3.91 190.15 0.0"	"micron"	"direct"	"55.875"	"micron^2"	"direct"	"8.4355"	"micron"	"direct"	"10.38125"	"micron"	"direct"	"7.064"	"micron"	"direct"	"30.49575"	"micron"	"direct"	"4.21775"	"micron"	"direct"	"0.68045756"	"dimensionless"	"direct"	"0.75500315"	"dimensionless"	"direct"	"0.7327875"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9985 -0.055"	"dimensionless"	"Unit Vector"	"direct"	"2.91 357.83 0.0"	"micron"	"direct"	"41.5625"	"micron^2"	"direct"	"7.275"	"micron"	"direct"	"11.03475"	"micron"	"direct"	"5.05075"	"micron"	"direct"	"27.864"	"micron"	"direct"	"3.6375"	"micron"	"direct"	"0.45771313"	"dimensionless"	"direct"	"0.67270492"	"dimensionless"	"direct"	"0.88909993"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9871 0.16"	"dimensionless"	"Unit Vector"	"direct"	"2.42 39.8 0.0"	"micron"	"direct"	"28.125"	"micron^2"	"direct"	"5.9845"	"micron"	"direct"	"11.24825"	"micron"	"direct"	"3.76475"	"micron"	"direct"	"28.2885"	"micron"	"direct"	"2.99225"	"micron"	"direct"	"0.33469651"	"dimensionless"	"direct"	"0.44165439"	"dimensionless"	"direct"	"0.94232598"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9884 -0.1521"	"dimensionless"	"Unit Vector"	"direct"	"3.1 102.84 0.0"	"micron"	"direct"	"41.25"	"micron^2"	"direct"	"7.248"	"micron"	"direct"	"11.6745"	"micron"	"direct"	"4.658"	"micron"	"direct"	"30.012"	"micron"	"direct"	"3.624"	"micron"	"direct"	"0.39898925"	"dimensionless"	"direct"	"0.57549816"	"dimensionless"	"direct"	"0.9169556"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.992 -0.126"	"dimensionless"	"Unit Vector"	"direct"	"3.02 169.29 0.0"	"micron"	"direct"	"51.5625"	"micron^2"	"direct"	"8.1035"	"micron"	"direct"	"12.825"	"micron"	"direct"	"5.663"	"micron"	"direct"	"37.478"	"micron"	"direct"	"4.05175"	"micron"	"direct"	"0.44155945"	"dimensionless"	"direct"	"0.46130803"	"dimensionless"	"direct"	"0.89723199"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
"MCDS_S_0000000254.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.9981 -0.061"	"dimensionless"	"Unit Vector"	"direct"	"2.22 274.69 0.0"	"micron"	"direct"	"14.0625"	"micron^2"	"direct"	"4.232"	"micron"	"direct"	"5.12525"	"micron"	"direct"	"3.89375"	"micron"	"direct"	"16.9675"	"micron"	"direct"	"2.116"	"micron"	"direct"	"0.75971904"	"dimensionless"	"direct"	"0.61381385"	"dimensionless"	"direct"	"0.65025148"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000254.xml"
