"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000036.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9984 0.056"	"dimensionless"	"Unit Vector"	"direct"	"1.85 9.56 0.0"	"micron"	"direct"	"35.125"	"micron^2"	"direct"	"6.688"	"micron"	"direct"	"14.543"	"micron"	"direct"	"3.282"	"micron"	"direct"	"35.0355"	"micron"	"direct"	"3.344"	"micron"	"direct"	"0.22567558"	"dimensionless"	"direct"	"0.35959162"	"dimensionless"	"direct"	"0.97420251"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.8515 0.5243"	"dimensionless"	"Unit Vector"	"direct"	"3.81 28.49 0.0"	"micron"	"direct"	"48.0625"	"micron^2"	"direct"	"7.8235"	"micron"	"direct"	"8.3395"	"micron"	"direct"	"7.5335"	"micron"	"direct"	"28.787"	"micron"	"direct"	"3.91175"	"micron"	"direct"	"0.90335152"	"dimensionless"	"direct"	"0.72882524"	"dimensionless"	"direct"	"0.42890096"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9964 -0.085"	"dimensionless"	"Unit Vector"	"direct"	"1.51 38.33 0.0"	"micron"	"direct"	"14.4375"	"micron^2"	"direct"	"4.288"	"micron"	"direct"	"7.067"	"micron"	"direct"	"2.778"	"micron"	"direct"	"17.13025"	"micron"	"direct"	"2.144"	"micron"	"direct"	"0.39309467"	"dimensionless"	"direct"	"0.61826471"	"dimensionless"	"direct"	"0.91949801"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9582 0.2861"	"dimensionless"	"Unit Vector"	"direct"	"3.45 46.23 0.0"	"micron"	"direct"	"56.8125"	"micron^2"	"direct"	"8.506"	"micron"	"direct"	"11.30425"	"micron"	"direct"	"7.20625"	"micron"	"direct"	"35.4425"	"micron"	"direct"	"4.253"	"micron"	"direct"	"0.63748148"	"dimensionless"	"direct"	"0.56833587"	"dimensionless"	"direct"	"0.77046568"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.8499 0.5269"	"dimensionless"	"Unit Vector"	"direct"	"2.87 62.63 0.0"	"micron"	"direct"	"22.375"	"micron^2"	"direct"	"5.338"	"micron"	"direct"	"6.63625"	"micron"	"direct"	"4.77025"	"micron"	"direct"	"21.13175"	"micron"	"direct"	"2.669"	"micron"	"direct"	"0.7188171"	"dimensionless"	"direct"	"0.62965402"	"dimensionless"	"direct"	"0.69519923"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9814 -0.1921"	"dimensionless"	"Unit Vector"	"direct"	"3.33 88.44 0.0"	"micron"	"direct"	"35.25"	"micron^2"	"direct"	"6.7"	"micron"	"direct"	"7.194"	"micron"	"direct"	"6.29325"	"micron"	"direct"	"22.4245"	"micron"	"direct"	"3.35"	"micron"	"direct"	"0.87479149"	"dimensionless"	"direct"	"0.88089359"	"dimensionless"	"direct"	"0.48449958"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9987 -0.05"	"dimensionless"	"Unit Vector"	"direct"	"3.78 119.05 0.0"	"micron"	"direct"	"77.375"	"micron^2"	"direct"	"9.9265"	"micron"	"direct"	"12.96075"	"micron"	"direct"	"8.13725"	"micron"	"direct"	"41.08875"	"micron"	"direct"	"4.96325"	"micron"	"direct"	"0.6278379"	"dimensionless"	"direct"	"0.57592332"	"dimensionless"	"direct"	"0.77834413"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.251 -0.968"	"dimensionless"	"Unit Vector"	"direct"	"5.69 142.66 0.0"	"micron"	"direct"	"81.4375"	"micron^2"	"direct"	"10.184"	"micron"	"direct"	"13.2125"	"micron"	"direct"	"8.2545"	"micron"	"direct"	"40.08875"	"micron"	"direct"	"5.092"	"micron"	"direct"	"0.62474929"	"dimensionless"	"direct"	"0.63677978"	"dimensionless"	"direct"	"0.78082541"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9967 0.081"	"dimensionless"	"Unit Vector"	"direct"	"1.46 150.9 0.0"	"micron"	"direct"	"13.1875"	"micron^2"	"direct"	"4.098"	"micron"	"direct"	"7.122"	"micron"	"direct"	"2.486"	"micron"	"direct"	"17.47475"	"micron"	"direct"	"2.049"	"micron"	"direct"	"0.34905925"	"dimensionless"	"direct"	"0.54268822"	"dimensionless"	"direct"	"0.93710066"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
"MCDS_S_0000000036.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.9849 -0.173"	"dimensionless"	"Unit Vector"	"direct"	"1.64 186.55 0.0"	"micron"	"direct"	"18.875"	"micron^2"	"direct"	"4.9025"	"micron"	"direct"	"9.02275"	"micron"	"direct"	"3.2505"	"micron"	"direct"	"23.09625"	"micron"	"direct"	"2.45125"	"micron"	"direct"	"0.36025602"	"dimensionless"	"direct"	"0.44464548"	"dimensionless"	"direct"	"0.93285347"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000036.xml"
