"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000114.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9999 -0.013"	"dimensionless"	"Unit Vector"	"direct"	"1.63 20.97 0.0"	"micron"	"direct"	"30.8125"	"micron^2"	"direct"	"6.264"	"micron"	"direct"	"9.78"	"micron"	"direct"	"4.13075"	"micron"	"direct"	"23.80325"	"micron"	"direct"	"3.132"	"micron"	"direct"	"0.42236708"	"dimensionless"	"direct"	"0.68338318"	"dimensionless"	"direct"	"0.90642487"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.5182 0.8553"	"dimensionless"	"Unit Vector"	"direct"	"2.75 28.24 0.0"	"micron"	"direct"	"31.25"	"micron^2"	"direct"	"6.3085"	"micron"	"direct"	"9.018"	"micron"	"direct"	"5.61875"	"micron"	"direct"	"26.046"	"micron"	"direct"	"3.15425"	"micron"	"direct"	"0.62305944"	"dimensionless"	"direct"	"0.5788657"	"dimensionless"	"direct"	"0.78217449"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.945 -0.327"	"dimensionless"	"Unit Vector"	"direct"	"2.71 42.75 0.0"	"micron"	"direct"	"42.25"	"micron^2"	"direct"	"7.335"	"micron"	"direct"	"10.17775"	"micron"	"direct"	"5.6505"	"micron"	"direct"	"28.14225"	"micron"	"direct"	"3.6675"	"micron"	"direct"	"0.55518165"	"dimensionless"	"direct"	"0.67037675"	"dimensionless"	"direct"	"0.83172913"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9322 -0.3621"	"dimensionless"	"Unit Vector"	"direct"	"1.96 49.73 0.0"	"micron"	"direct"	"26.75"	"micron^2"	"direct"	"5.8365"	"micron"	"direct"	"8.08175"	"micron"	"direct"	"4.40025"	"micron"	"direct"	"21.3995"	"micron"	"direct"	"2.91825"	"micron"	"direct"	"0.54446747"	"dimensionless"	"direct"	"0.73405128"	"dimensionless"	"direct"	"0.83878196"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.049 0.9988"	"dimensionless"	"Unit Vector"	"direct"	"4.1 76.54 0.0"	"micron"	"direct"	"70.625"	"micron^2"	"direct"	"9.4835"	"micron"	"direct"	"11.01575"	"micron"	"direct"	"9.094"	"micron"	"direct"	"35.37425"	"micron"	"direct"	"4.74175"	"micron"	"direct"	"0.82554524"	"dimensionless"	"direct"	"0.70924102"	"dimensionless"	"direct"	"0.56433594"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9826 -0.1859"	"dimensionless"	"Unit Vector"	"direct"	"2.52 87.05 0.0"	"micron"	"direct"	"40.25"	"micron^2"	"direct"	"7.1595"	"micron"	"direct"	"8.79175"	"micron"	"direct"	"6.18775"	"micron"	"direct"	"25.6065"	"micron"	"direct"	"3.57975"	"micron"	"direct"	"0.70381323"	"dimensionless"	"direct"	"0.77139231"	"dimensionless"	"direct"	"0.71038506"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.099 0.9951"	"dimensionless"	"Unit Vector"	"direct"	"3.03 96.57 0.0"	"micron"	"direct"	"31.875"	"micron^2"	"direct"	"6.371"	"micron"	"direct"	"7.48525"	"micron"	"direct"	"5.5975"	"micron"	"direct"	"21.7175"	"micron"	"direct"	"3.1855"	"micron"	"direct"	"0.74780401"	"dimensionless"	"direct"	"0.84925947"	"dimensionless"	"direct"	"0.66391954"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.7892 -0.6141"	"dimensionless"	"Unit Vector"	"direct"	"2.71 115.12 0.0"	"micron"	"direct"	"22.875"	"micron^2"	"direct"	"5.3975"	"micron"	"direct"	"8.2215"	"micron"	"direct"	"3.593"	"micron"	"direct"	"19.96025"	"micron"	"direct"	"2.69875"	"micron"	"direct"	"0.43702487"	"dimensionless"	"direct"	"0.72150445"	"dimensionless"	"direct"	"0.89944942"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9864 -0.1641"	"dimensionless"	"Unit Vector"	"direct"	"1.65 189.67 0.0"	"micron"	"direct"	"34.4375"	"micron^2"	"direct"	"6.6225"	"micron"	"direct"	"12.14525"	"micron"	"direct"	"4.28975"	"micron"	"direct"	"30.06375"	"micron"	"direct"	"3.31125"	"micron"	"direct"	"0.35320393"	"dimensionless"	"direct"	"0.47880114"	"dimensionless"	"direct"	"0.93554636"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
"MCDS_S_0000000114.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.8974 -0.4412"	"dimensionless"	"Unit Vector"	"direct"	"2.47 35.71 0.0"	"micron"	"direct"	"17.9375"	"micron^2"	"direct"	"4.7795"	"micron"	"direct"	"5.49"	"micron"	"direct"	"4.22575"	"micron"	"direct"	"15.9245"	"micron"	"direct"	"2.38975"	"micron"	"direct"	"0.76971767"	"dimensionless"	"direct"	"0.88887393"	"dimensionless"	"direct"	"0.63838445"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000114.xml"
