"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000154.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9894 0.1451"	"dimensionless"	"Unit Vector"	"direct"	"2.03 106.95 0.0"	"micron"	"direct"	"39.5"	"micron^2"	"direct"	"7.0925"	"micron"	"direct"	"10.3165"	"micron"	"direct"	"5.0955"	"micron"	"direct"	"26.48525"	"micron"	"direct"	"3.54625"	"micron"	"direct"	"0.49391751"	"dimensionless"	"direct"	"0.70761789"	"dimensionless"	"direct"	"0.86950877"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9478 -0.3189"	"dimensionless"	"Unit Vector"	"direct"	"3.87 118.72 0.0"	"micron"	"direct"	"68.0625"	"micron^2"	"direct"	"9.31"	"micron"	"direct"	"10.39425"	"micron"	"direct"	"8.45775"	"micron"	"direct"	"32.14225"	"micron"	"direct"	"4.655"	"micron"	"direct"	"0.81369507"	"dimensionless"	"direct"	"0.82787585"	"dimensionless"	"direct"	"0.58129195"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.123 -0.9924"	"dimensionless"	"Unit Vector"	"direct"	"3.7 157.19 0.0"	"micron"	"direct"	"48.125"	"micron^2"	"direct"	"7.8285"	"micron"	"direct"	"9.0745"	"micron"	"direct"	"6.92825"	"micron"	"direct"	"26.4245"	"micron"	"direct"	"3.91425"	"micron"	"direct"	"0.76348559"	"dimensionless"	"direct"	"0.86609803"	"dimensionless"	"direct"	"0.64582486"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.889 0.458"	"dimensionless"	"Unit Vector"	"direct"	"4.43 32.39 0.0"	"micron"	"direct"	"44.3125"	"micron^2"	"direct"	"7.512"	"micron"	"direct"	"13.488"	"micron"	"direct"	"4.3395"	"micron"	"direct"	"31.23825"	"micron"	"direct"	"3.756"	"micron"	"direct"	"0.32173043"	"dimensionless"	"direct"	"0.57064067"	"dimensionless"	"direct"	"0.94683131"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.3679 0.9298"	"dimensionless"	"Unit Vector"	"direct"	"6.47 1.94 0.0"	"micron"	"direct"	"28.75"	"micron^2"	"direct"	"6.051"	"micron"	"direct"	"9.0975"	"micron"	"direct"	"4.913"	"micron"	"direct"	"27.33875"	"micron"	"direct"	"3.0255"	"micron"	"direct"	"0.54003847"	"dimensionless"	"direct"	"0.48338192"	"dimensionless"	"direct"	"0.84164033"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.8571 0.5151"	"dimensionless"	"Unit Vector"	"direct"	"5.04 23.88 0.0"	"micron"	"direct"	"19.4375"	"micron^2"	"direct"	"4.9755"	"micron"	"direct"	"6.54025"	"micron"	"direct"	"4.00475"	"micron"	"direct"	"17.8995"	"micron"	"direct"	"2.48775"	"micron"	"direct"	"0.61232369"	"dimensionless"	"direct"	"0.76237469"	"dimensionless"	"direct"	"0.79060717"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9796 0.2009"	"dimensionless"	"Unit Vector"	"direct"	"5.34 61.09 0.0"	"micron"	"direct"	"13.75"	"micron^2"	"direct"	"4.1845"	"micron"	"direct"	"5.73175"	"micron"	"direct"	"3.358"	"micron"	"direct"	"17.0105"	"micron"	"direct"	"2.09225"	"micron"	"direct"	"0.58585947"	"dimensionless"	"direct"	"0.59714308"	"dimensionless"	"direct"	"0.81041266"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.892 0.452"	"dimensionless"	"Unit Vector"	"direct"	"9.0 201.18 0.0"	"micron"	"direct"	"60.875"	"micron^2"	"direct"	"8.8045"	"micron"	"direct"	"12.1445"	"micron"	"direct"	"6.5015"	"micron"	"direct"	"32.41"	"micron"	"direct"	"4.40225"	"micron"	"direct"	"0.53534522"	"dimensionless"	"direct"	"0.72826724"	"dimensionless"	"direct"	"0.84463335"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9698 0.2439"	"dimensionless"	"Unit Vector"	"direct"	"9.63 49.36 0.0"	"micron"	"direct"	"72.5"	"micron^2"	"direct"	"9.6085"	"micron"	"direct"	"10.259"	"micron"	"direct"	"9.35025"	"micron"	"direct"	"37.85075"	"micron"	"direct"	"4.80425"	"micron"	"direct"	"0.91141924"	"dimensionless"	"direct"	"0.63591474"	"dimensionless"	"direct"	"0.411479"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
"MCDS_S_0000000154.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.8934 0.4492"	"dimensionless"	"Unit Vector"	"direct"	"10.68 17.89 0.0"	"micron"	"direct"	"56.0625"	"micron^2"	"direct"	"8.4495"	"micron"	"direct"	"13.98875"	"micron"	"direct"	"5.439"	"micron"	"direct"	"36.27375"	"micron"	"direct"	"4.22475"	"micron"	"direct"	"0.38881244"	"dimensionless"	"direct"	"0.53542348"	"dimensionless"	"direct"	"0.92131693"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000154.xml"
